selection_rank,eligible_position,private_row_index,anon_polygon_id,date,actual_hidden
131,1741,5246,AOI-0010,2020-09-27,True
132,12840,34834,AOI-0053,2025-08-09,True
133,137,970,AOI-0001,2014-07-28,True
134,16341,41267,AOI-0062,2023-10-12,True
135,369,2068,AOI-0001,2019-08-30,True
136,3909,9459,AOI-0014,2022-05-15,True
137,9968,26919,AOI-0044,2014-08-09,True
138,17144,43905,AOI-0067,2017-08-13,True
139,467,2413,AOI-0001,2021-06-10,True
140,14360,39137,AOI-0059,2019-08-24,True
141,14799,39625,AOI-0060,2025-06-03,True
142,14682,39459,AOI-0059,2024-07-13,True
143,8600,23280,AOI-0032,2022-08-29,True
144,6023,13088,AOI-0026,2025-04-24,True
145,896,3867,AOI-0004,2025-05-04,True
146,1437,4942,AOI-0010,2014-08-29,True
147,11059,31141,AOI-0046,2017-07-02,True
148,1599,5104,AOI-0010,2019-04-06,True
149,6071,13240,AOI-0026,2025-09-23,True
150,14472,39249,AOI-0059,2021-06-19,True
151,6519,15759,AOI-0028,2021-06-24,True
152,10839,30005,AOI-0046,2012-04-22,True
153,14054,38831,AOI-0059,2013-05-09,True
154,7517,19580,AOI-0031,2021-06-11,True
155,2672,6304,AOI-0013,2019-06-12,True
156,13047,35245,AOI-0056,2025-09-08,True
157,4399,10564,AOI-0016,2025-10-17,True
158,752,3440,AOI-0002,2025-05-03,True
159,19452,52602,AOI-0073,2023-05-03,True
160,8176,22052,AOI-0032,2016-10-18,True
161,16935,42887,AOI-0067,2012-09-29,True
162,15843,40769,AOI-0062,2016-05-08,True
163,3963,9575,AOI-0014,2022-09-08,True
164,17129,43870,AOI-0067,2017-07-09,True
165,17072,43643,AOI-0067,2016-06-25,True
166,20526,56790,AOI-0075,2025-09-21,True
167,18728,49514,AOI-0070,2025-10-23,True
168,1612,5117,AOI-0010,2019-05-19,True
169,7544,19636,AOI-0031,2021-08-06,True
170,1280,4727,AOI-0009,2025-07-25,True
171,1694,5199,AOI-0010,2020-06-09,True
172,6372,15186,AOI-0028,2018-08-29,True
173,11962,33724,AOI-0051,2011-09-01,True
174,13634,37724,AOI-0058,2021-05-31,True
175,9669,25625,AOI-0042,2025-07-24,True
176,704,3282,AOI-0001,2025-06-27,True
177,3255,7034,AOI-0014,2010-09-23,True
178,16450,41376,AOI-0062,2025-07-06,True
179,6197,13937,AOI-0028,2012-09-27,True
180,9244,24808,AOI-0037,2025-07-14,True
181,3957,9565,AOI-0014,2022-08-29,True
182,6843,16908,AOI-0029,2025-09-16,True
183,12034,33796,AOI-0051,2013-10-16,True
184,7406,19308,AOI-0031,2020-04-13,True
185,16874,42455,AOI-0067,2010-09-23,True
186,15026,39952,AOI-0061,2016-06-27,True
187,5116,11281,AOI-0017,2023-05-06,True
188,11235,31757,AOI-0046,2020-06-09,True
189,205,1395,AOI-0001,2016-07-27,True
190,19956,55186,AOI-0074,2019-05-31,True
191,18520,48953,AOI-0068,2025-06-10,True
192,19200,51886,AOI-0073,2019-09-16,True
193,13582,37563,AOI-0058,2020-07-22,True
194,17292,44436,AOI-0067,2020-04-27,True
195,13919,38634,AOI-0058,2025-07-28,True
196,10402,28549,AOI-0044,2022-05-27,True
197,7170,18564,AOI-0031,2016-07-30,True
198,13695,37947,AOI-0058,2022-06-10,True
199,670,3150,AOI-0001,2024-09-16,True
200,5951,12971,AOI-0024,2025-09-21,True
201,17222,44234,AOI-0067,2019-05-08,True
202,2966,6598,AOI-0013,2022-10-14,True
203,7296,19036,AOI-0031,2018-09-14,True
204,11441,32461,AOI-0046,2023-08-13,True
205,20737,57132,AOI-0078,2025-09-08,True
206,12227,33989,AOI-0051,2018-05-30,True
207,18735,49527,AOI-0071,2025-04-21,True
208,714,3313,AOI-0001,2025-07-28,True
209,9255,24834,AOI-0037,2025-08-09,True
210,9024,24360,AOI-0034,2025-09-13,True
211,7868,20463,AOI-0031,2025-07-12,True
212,6946,17332,AOI-0031,2010-09-14,True
213,12040,33802,AOI-0051,2014-04-18,True
214,8478,22939,AOI-0032,2021-04-23,True
215,3407,7920,AOI-0014,2014-10-27,True
216,2208,5840,AOI-0012,2025-07-10,True
217,18644,49276,AOI-0069,2025-09-28,True
218,10882,30315,AOI-0046,2013-07-28,True
219,15407,40333,AOI-0061,2022-07-06,True
220,4581,10746,AOI-0017,2015-04-30,True
221,1582,5087,AOI-0010,2018-07-28,True
222,6266,14545,AOI-0028,2015-08-27,True
223,16722,41982,AOI-0065,2025-08-07,True
224,19149,51764,AOI-0073,2019-05-17,True
225,13209,35910,AOI-0058,2012-09-11,True
226,19907,54964,AOI-0074,2018-05-22,True
227,5966,13016,AOI-0025,2025-04-24,True
228,6475,15586,AOI-0028,2020-08-03,True
229,14073,38850,AOI-0059,2013-08-21,True
230,12656,34418,AOI-0051,2024-10-05,True
231,12802,34717,AOI-0053,2025-04-14,True
232,18215,48005,AOI-0068,2020-10-05,True
233,16983,43199,AOI-0067,2014-06-07,True
234,3033,6665,AOI-0013,2023-09-14,True
235,12927,35099,AOI-0054,2025-09-30,True
236,1125,4457,AOI-0007,2025-08-16,True
237,7978,20937,AOI-0032,2011-08-29,True
238,6624,16170,AOI-0028,2023-06-09,True
239,11473,32545,AOI-0046,2024-04-06,True
240,15811,40737,AOI-0062,2015-04-22,True
241,12216,33978,AOI-0051,2018-04-11,True
242,9421,25179,AOI-0039,2025-08-06,True
243,5128,11293,AOI-0017,2023-06-19,True
244,1267,4707,AOI-0009,2025-07-05,True
245,18832,49695,AOI-0072,2025-07-17,True
246,20371,56352,AOI-0074,2024-09-09,True
247,12171,33933,AOI-0051,2017-05-28,True
248,18609,49192,AOI-0069,2025-07-06,True
249,3066,6698,AOI-0013,2024-05-04,True
250,15296,40222,AOI-0061,2020-10-17,True
251,11532,32735,AOI-0046,2024-10-13,True
252,15568,40494,AOI-0061,2024-08-09,True
253,834,3718,AOI-0003,2025-07-07,True
254,3135,6767,AOI-0013,2024-10-08,True
255,15870,40796,AOI-0062,2017-04-07,True
256,15689,40615,AOI-0062,2010-05-26,True
257,12301,34063,AOI-0051,2019-08-05,True
258,4098,9956,AOI-0014,2024-07-25,True
259,584,2852,AOI-0001,2023-06-23,True
260,19762,53941,AOI-0074,2013-07-03,True
261,2284,5916,AOI-0013,2010-10-24,True
262,12974,35172,AOI-0055,2025-08-17,True
263,18982,50773,AOI-0073,2014-07-30,True
264,4132,10030,AOI-0014,2024-10-07,True
265,14019,38796,AOI-0059,2012-04-04,True
266,12238,34000,AOI-0051,2018-07-02,True
267,16618,41729,AOI-0064,2025-06-28,True
268,12486,34248,AOI-0051,2022-07-12,True
269,4850,11015,AOI-0017,2019-08-24,True
270,5208,11373,AOI-0017,2024-06-05,True
271,11119,31372,AOI-0046,2018-07-20,True
272,19048,51314,AOI-0073,2017-04-23,True
273,3340,7577,AOI-0014,2013-06-19,True
274,3231,6882,AOI-0014,2010-04-24,True
275,13996,38773,AOI-0059,2011-07-07,True
276,1881,5386,AOI-0010,2023-04-27,True
277,3492,8288,AOI-0014,2016-08-30,True
278,15113,40039,AOI-0061,2018-06-10,True
279,20097,55576,AOI-0074,2021-04-25,True
280,13199,35830,AOI-0058,2012-06-23,True
281,7793,20278,AOI-0031,2024-08-09,True
282,5045,11210,AOI-0017,2022-05-26,True
283,8660,23459,AOI-0032,2023-07-26,True
284,7339,19165,AOI-0031,2019-06-22,True
285,11010,30939,AOI-0046,2016-07-13,True
286,17412,44861,AOI-0067,2022-04-26,True
287,12418,34180,AOI-0051,2021-06-23,True
288,9174,24613,AOI-0036,2025-08-01,True
289,6027,13103,AOI-0026,2025-05-09,True
290,13802,38269,AOI-0058,2023-09-27,True
291,5853,12736,AOI-0023,2025-08-30,True
292,6750,16627,AOI-0028,2025-07-10,True
293,13068,35266,AOI-0057,2025-05-04,True
294,5630,12215,AOI-0021,2025-05-27,True
295,1055,4306,AOI-0006,2025-08-30,True
296,14687,39464,AOI-0059,2024-07-27,True
297,2291,5923,AOI-0013,2011-04-26,True
298,16913,42664,AOI-0067,2011-09-19,True
299,12177,33939,AOI-0051,2017-06-21,True
300,12750,34562,AOI-0052,2025-06-11,True
301,12513,34275,AOI-0051,2022-09-14,True
302,15686,40612,AOI-0062,2010-05-09,True
303,7551,19655,AOI-0031,2021-08-25,True
304,11997,33759,AOI-0051,2012-10-13,True
305,17025,43383,AOI-0067,2015-05-09,True
306,18019,47334,AOI-0068,2017-09-03,True
307,14644,39421,AOI-0059,2023-10-12,True
308,3780,9126,AOI-0014,2020-08-16,True
309,561,2739,AOI-0001,2022-10-01,True
310,11979,33741,AOI-0051,2012-05-22,True
311,4682,10847,AOI-0017,2017-06-06,True
312,4508,10673,AOI-0017,2013-05-25,True
313,3756,9074,AOI-0014,2020-06-25,True
314,11819,33530,AOI-0049,2025-08-17,True
315,14490,39267,AOI-0059,2021-07-29,True
316,4270,10378,AOI-0015,2025-07-21,True
317,8645,23421,AOI-0032,2023-06-18,True
318,2418,6050,AOI-0013,2014-08-01,True
319,11944,33706,AOI-0051,2011-06-05,True
320,20428,56510,AOI-0074,2025-07-16,True
321,2843,6475,AOI-0013,2021-06-21,True
322,7912,20565,AOI-0031,2025-10-22,True
323,5717,12429,AOI-0022,2025-05-28,True
324,6590,16012,AOI-0028,2022-08-03,True
325,9952,26855,AOI-0044,2014-06-06,True
326,15237,40163,AOI-0061,2020-05-24,True
327,11225,31725,AOI-0046,2020-05-08,True
328,11141,31475,AOI-0046,2019-04-01,True
329,13883,38515,AOI-0058,2024-10-30,True
330,6215,14121,AOI-0028,2013-08-29,True
331,19948,55169,AOI-0074,2019-05-14,True
332,14728,39505,AOI-0059,2025-05-01,True
333,18511,48923,AOI-0068,2025-05-11,True
334,10214,27934,AOI-0044,2019-06-20,True
335,11382,32265,AOI-0046,2022-08-30,True
336,19949,55171,AOI-0074,2019-05-16,True
337,12803,34719,AOI-0053,2025-04-16,True
338,6354,15076,AOI-0028,2018-05-11,True
339,5873,12784,AOI-0023,2025-10-17,True
340,3543,8477,AOI-0014,2017-08-06,True
341,20597,56890,AOI-0076,2025-09-01,True
342,15416,40342,AOI-0061,2022-07-28,True
343,4355,10520,AOI-0016,2025-07-18,True
344,17690,45703,AOI-0068,2010-04-16,True
345,13619,37660,AOI-0058,2020-10-27,True
346,4340,10505,AOI-0016,2025-06-11,True
347,838,3724,AOI-0003,2025-07-13,True
348,3073,6705,AOI-0013,2024-05-24,True
349,20465,56623,AOI-0075,2025-04-07,True
350,15154,40080,AOI-0061,2019-05-21,True
351,9385,25143,AOI-0039,2025-05-08,True
352,3953,9558,AOI-0014,2022-08-22,True
353,15897,40823,AOI-0062,2017-07-28,True
354,19532,52819,AOI-0073,2024-05-07,True
355,8434,22832,AOI-0032,2020-08-07,True
356,19620,53036,AOI-0073,2025-05-11,True
357,20728,57108,AOI-0078,2025-08-15,True
358,1358,4863,AOI-0010,2011-07-12,True
359,451,2331,AOI-0001,2020-10-19,True
360,18591,49136,AOI-0069,2025-05-11,True
361,5818,12680,AOI-0023,2025-07-05,True
362,18622,49224,AOI-0069,2025-08-07,True
363,2168,5778,AOI-0011,2025-10-03,True
364,1833,5338,AOI-0010,2022-06-10,True
365,1589,5094,AOI-0010,2018-09-14,True
366,6287,14695,AOI-0028,2016-06-25,True
367,18564,49059,AOI-0068,2025-09-24,True
368,11882,33644,AOI-0050,2025-08-17,True
369,10985,30821,AOI-0046,2015-10-16,True
370,10936,30581,AOI-0046,2014-09-19,True
371,15389,40315,AOI-0061,2022-05-25,True
372,3727,8994,AOI-0014,2020-04-06,True
373,12430,34192,AOI-0051,2021-07-19,True
374,19312,52186,AOI-0073,2021-05-13,True
375,264,1657,AOI-0001,2017-09-14,True
376,2032,5537,AOI-0010,2025-06-05,True
377,11082,31211,AOI-0046,2017-09-10,True
378,14352,39129,AOI-0059,2019-07-29,True
379,17036,43447,AOI-0067,2015-07-12,True
380,17537,45236,AOI-0067,2023-10-05,True
381,16528,41513,AOI-0063,2025-06-25,True
382,4697,10862,AOI-0017,2017-07-31,True
383,2067,5572,AOI-0010,2025-08-27,True
384,9943,26795,AOI-0044,2014-04-07,True
385,20550,56843,AOI-0076,2025-05-01,True
386,1191,4570,AOI-0008,2025-07-15,True
387,7604,19803,AOI-0031,2022-06-21,True
388,7272,18941,AOI-0031,2018-06-11,True
389,17982,47222,AOI-0068,2017-05-14,True
390,11145,31492,AOI-0046,2019-04-18,True
391,4802,10967,AOI-0017,2019-05-13,True
392,10651,29267,AOI-0044,2025-08-14,True
393,5348,11513,AOI-0017,2025-10-02,True
394,9038,24393,AOI-0034,2025-10-16,True
395,18708,49461,AOI-0070,2025-08-31,True
396,5470,11823,AOI-0019,2025-06-30,True
397,11282,31891,AOI-0046,2020-10-21,True
398,11418,32411,AOI-0046,2023-06-24,True
399,9290,24923,AOI-0038,2025-04-07,True
400,12856,34871,AOI-0053,2025-09-15,True
401,2263,5895,AOI-0013,2010-06-10,True
402,13891,38539,AOI-0058,2025-04-24,True
403,6057,13205,AOI-0026,2025-08-19,True
404,3770,9106,AOI-0014,2020-07-27,True
405,12787,34657,AOI-0052,2025-09-14,True
406,840,3726,AOI-0003,2025-07-15,True
407,17946,47070,AOI-0068,2016-07-14,True
408,2850,6482,AOI-0013,2021-07-12,True
409,1625,5130,AOI-0010,2019-06-20,True
410,20163,55754,AOI-0074,2021-10-20,True
411,20666,56959,AOI-0077,2025-09-11,True
412,12265,34027,AOI-0051,2018-10-14,True
413,10058,27332,AOI-0044,2016-07-27,True
414,1693,5198,AOI-0010,2020-06-06,True
415,16490,41416,AOI-0062,2025-09-24,True
416,5268,11433,AOI-0017,2024-10-22,True
417,5085,11250,AOI-0017,2022-08-23,True
418,20670,56963,AOI-0077,2025-09-22,True
419,16647,41781,AOI-0064,2025-08-19,True
420,17249,44315,AOI-0067,2019-07-28,True
421,1529,5034,AOI-0010,2017-08-01,True
422,11842,33602,AOI-0049,2025-10-28,True
423,16364,41290,AOI-0062,2024-06-03,True
424,4852,11017,AOI-0017,2019-08-29,True
425,20255,56047,AOI-0074,2023-06-09,True
426,19186,51851,AOI-0073,2019-08-12,True
427,20554,56847,AOI-0076,2025-05-11,True
428,20357,56324,AOI-0074,2024-08-12,True
429,9651,25584,AOI-0042,2025-06-13,True
430,9556,25443,AOI-0041,2025-05-20,True
431,8025,21283,AOI-0032,2013-06-10,True
432,15141,40067,AOI-0061,2019-04-09,True
433,18633,49249,AOI-0069,2025-09-01,True
434,645,3059,AOI-0001,2024-06-17,True
435,7044,17939,AOI-0031,2013-08-13,True
436,13083,35281,AOI-0057,2025-07-10,True
437,14566,39343,AOI-0059,2022-09-27,True
438,14494,39271,AOI-0059,2021-08-18,True
439,5732,12470,AOI-0022,2025-07-08,True
440,6272,14577,AOI-0028,2015-09-28,True
441,8595,23266,AOI-0032,2022-08-15,True
442,5438,11719,AOI-0018,2025-10-17,True
443,4217,10229,AOI-0014,2025-09-23,True
444,14358,39135,AOI-0059,2019-08-21,True
445,7943,20711,AOI-0032,2010-08-16,True
446,18434,48700,AOI-0068,2024-05-01,True
447,17271,44373,AOI-0067,2019-09-24,True
448,8531,23084,AOI-0032,2021-09-15,True
449,210,1428,AOI-0001,2016-08-29,True
450,19863,54764,AOI-0074,2017-06-04,True
451,7603,19802,AOI-0031,2022-06-20,True
452,17810,46414,AOI-0068,2013-06-27,True
453,18881,49903,AOI-0073,2010-07-12,True
454,16152,41078,AOI-0062,2021-07-01,True
455,3394,7849,AOI-0014,2014-08-17,True
456,18545,49017,AOI-0068,2025-08-13,True
457,12848,34854,AOI-0053,2025-08-29,True
458,13415,36977,AOI-0058,2017-09-13,True
459,20166,55761,AOI-0074,2021-10-27,True
460,3298,7281,AOI-0014,2011-10-27,True
461,18371,48547,AOI-0068,2023-06-30,True
462,17008,43298,AOI-0067,2014-09-14,True
463,4526,10691,AOI-0017,2013-09-14,True
464,1922,5427,AOI-0010,2023-08-30,True
465,19089,51490,AOI-0073,2017-10-16,True
466,19464,52634,AOI-0073,2023-06-04,True
467,15029,39955,AOI-0061,2016-07-13,True
468,9277,24882,AOI-0037,2025-09-26,True
469,6386,15254,AOI-0028,2019-04-06,True
470,5974,13024,AOI-0025,2025-06-03,True
471,16092,41018,AOI-0062,2020-08-20,True
472,3065,6697,AOI-0013,2024-04-26,True
473,134,957,AOI-0001,2014-07-15,True
474,4573,10738,AOI-0017,2014-10-04,True
475,14605,39382,AOI-0059,2023-07-16,True
476,16989,43223,AOI-0067,2014-07-01,True
477,5865,12760,AOI-0023,2025-09-23,True
478,15854,40780,AOI-0062,2016-07-27,True
479,6450,15495,AOI-0028,2020-05-04,True
480,19942,55148,AOI-0074,2019-04-23,True
481,13791,38244,AOI-0058,2023-09-02,True
482,14923,39849,AOI-0061,2012-10-22,True
483,2930,6562,AOI-0013,2022-07-17,True
484,172,1198,AOI-0001,2015-08-12,True
485,1019,4270,AOI-0006,2025-05-09,True
486,12688,34450,AOI-0051,2025-07-05,True
487,19877,54828,AOI-0074,2017-08-07,True
488,17855,46658,AOI-0068,2014-07-28,True
489,17396,44784,AOI-0067,2021-09-09,True
490,19451,52597,AOI-0073,2023-04-28,True
491,13764,38178,AOI-0058,2023-06-28,True
492,15720,40646,AOI-0062,2011-07-28,True
493,8128,21821,AOI-0032,2015-09-30,True
494,17927,46997,AOI-0068,2016-05-02,True
495,3381,7800,AOI-0014,2014-06-29,True
496,4600,10765,AOI-0017,2015-08-03,True
497,17316,44526,AOI-0067,2020-07-26,True
498,19975,55229,AOI-0074,2019-07-13,True
499,12923,35090,AOI-0054,2025-09-21,True
500,4073,9893,AOI-0014,2024-05-23,True
501,8433,22830,AOI-0032,2020-08-05,True
502,6840,16903,AOI-0029,2025-09-11,True
503,6711,16482,AOI-0028,2024-09-16,True
504,2174,5806,AOI-0012,2025-04-01,True
505,15354,40280,AOI-0061,2021-08-28,True
506,524,2619,AOI-0001,2022-06-03,True
507,18311,48348,AOI-0068,2022-07-14,True
508,9408,25166,AOI-0039,2025-07-10,True
509,20052,55467,AOI-0074,2020-08-07,True
510,781,3542,AOI-0002,2025-08-13,True
511,20089,55543,AOI-0074,2020-10-22,True
512,6971,17511,AOI-0031,2011-08-11,True
513,2709,6341,AOI-0013,2019-08-31,True
514,7766,20210,AOI-0031,2024-06-02,True
515,15792,40718,AOI-0062,2014-06-30,True
516,2822,6454,AOI-0013,2021-04-23,True
517,18540,49001,AOI-0068,2025-07-28,True
518,9910,26608,AOI-0044,2013-05-03,True
519,20605,56898,AOI-0076,2025-10-01,True
520,12183,33945,AOI-0051,2017-07-23,True
521,1648,5153,AOI-0010,2019-08-19,True
522,5907,12891,AOI-0024,2025-07-03,True
523,6292,14727,AOI-0028,2016-07-27,True
524,461,2387,AOI-0001,2021-05-15,True
525,3038,6670,AOI-0013,2023-09-24,True
526,18065,47541,AOI-0068,2018-08-28,True
527,12323,34085,AOI-0051,2019-10-16,True
528,5387,11617,AOI-0018,2025-07-07,True
529,19363,52311,AOI-0073,2021-09-15,True
530,17819,46445,AOI-0068,2013-07-28,True
531,13401,36917,AOI-0058,2017-07-15,True
532,80,525,AOI-0001,2012-07-09,True
533,597,2893,AOI-0001,2023-08-03,True
534,4139,10053,AOI-0014,2024-10-30,True
535,13609,37627,AOI-0058,2020-09-24,True
536,7466,19439,AOI-0031,2020-08-22,True
537,7261,18901,AOI-0031,2018-05-02,True
538,17876,46727,AOI-0068,2014-10-05,True
539,3513,8375,AOI-0014,2017-04-26,True
540,7147,18465,AOI-0031,2016-04-22,True
541,16962,43039,AOI-0067,2013-07-30,True
542,17139,43894,AOI-0067,2017-08-02,True
543,1292,4750,AOI-0009,2025-08-17,True
544,2195,5827,AOI-0012,2025-06-03,True
545,8472,22920,AOI-0032,2021-04-04,True
546,10921,30532,AOI-0046,2014-08-01,True
547,12556,34318,AOI-0051,2023-07-31,True
548,14807,39656,AOI-0060,2025-07-04,True
549,7310,19092,AOI-0031,2019-04-10,True
550,13929,38651,AOI-0058,2025-08-14,True
551,15300,40226,AOI-0061,2020-10-29,True
552,11915,33677,AOI-0051,2010-06-09,True
553,7707,20071,AOI-0031,2023-08-15,True
554,20240,56005,AOI-0074,2023-04-28,True
555,13513,37332,AOI-0058,2019-07-04,True
556,2166,5775,AOI-0011,2025-09-30,True
557,12077,33839,AOI-0051,2015-04-07,True
558,5372,11576,AOI-0018,2025-05-27,True
559,20347,56299,AOI-0074,2024-07-18,True
560,15346,40272,AOI-0061,2021-08-04,True
561,13645,37763,AOI-0058,2021-07-09,True
562,5496,11868,AOI-0019,2025-08-14,True
563,14081,38858,AOI-0059,2013-10-16,True
564,11881,33643,AOI-0050,2025-08-13,True
565,12603,34365,AOI-0051,2024-05-22,True
566,16982,43198,AOI-0067,2014-06-06,True
567,19494,52707,AOI-0073,2023-08-16,True
568,4974,11139,AOI-0017,2021-05-20,True
569,2151,5741,AOI-0011,2025-08-27,True
570,10103,27518,AOI-0044,2017-06-30,True
571,648,3067,AOI-0001,2024-06-25,True
572,15256,40182,AOI-0061,2020-07-19,True
573,8127,21814,AOI-0032,2015-09-23,True
574,15509,40435,AOI-0061,2023-09-24,True
575,17371,44699,AOI-0067,2021-06-16,True
576,3182,6814,AOI-0013,2025-07-21,True
577,18067,47550,AOI-0068,2018-09-06,True
578,300,1806,AOI-0001,2018-07-12,True
579,14837,39725,AOI-0060,2025-09-11,True
580,19728,53598,AOI-0074,2011-09-24,True
