seed,method,slice,n,alpha_opt,rmse_opt,rmse_a040,rmse_baseline
2,soft_all_r1_l0_p4,mid_2_8,425,0.6270705825,0.0706712849,0.0709770441,0.0729707172
2,soft_all_r1_l0_p4,far_or_none,494,0.0413466827,0.0669970513,0.0674272673,0.0670027871
2,soft_all_r1_l0_p4,source_s2,1186,0.5478535007,0.0612768369,0.0613946040,0.0628744879
2,soft_all_r1_l0_p4,source_landsat,1025,0.5513654470,0.0716833208,0.0717847647,0.0730178705
2,soft_all_r1_l0_p4,source_modis,433,0.3831313479,0.0601184382,0.0601214702,0.0616627658
2,soft_crop_r1_l0_p4,all,2644,0.5149037610,0.0652984433,0.0653742691,0.0668046092
2,soft_crop_r1_l0_p4,history,1888,0.5020896479,0.0611915292,0.0612562879,0.0627391677
2,soft_crop_r1_l0_p4,2025,756,0.5485047829,0.0745660173,0.0746730953,0.0760137763
2,soft_crop_r1_l0_p4,new,2267,0.5388693954,0.0676985218,0.0678053688,0.0692899392
2,soft_crop_r1_l0_p4,shared,377,0.3704013433,0.0482307699,0.0482375695,0.0492841835
2,soft_crop_r1_l0_p4,new_2025,379,0.7378362976,0.0934246754,0.0938516542,0.0954441404
2,soft_crop_r1_l0_p4,shared_2025,377,0.3704013433,0.0482307699,0.0482375695,0.0492841835
2,soft_crop_r1_l0_p4,near_0_2,1725,0.5476886787,0.0632355619,0.0633757998,0.0651376777
2,soft_crop_r1_l0_p4,mid_2_8,425,0.6801251061,0.0702506229,0.0707194269,0.0729707172
2,soft_crop_r1_l0_p4,far_or_none,494,0.0413466827,0.0669970513,0.0674272673,0.0670027871
2,soft_crop_r1_l0_p4,source_s2,1186,0.5768898900,0.0611070764,0.0612754196,0.0628744879
2,soft_crop_r1_l0_p4,source_landsat,1025,0.5529847565,0.0716806580,0.0717838842,0.0730178705
2,soft_crop_r1_l0_p4,source_modis,433,0.3831313479,0.0601184382,0.0601214702,0.0616627658
2,soft_all_r2_l0_p4,all,2644,0.4991064803,0.0654231915,0.0654782116,0.0668046092
2,soft_all_r2_l0_p4,history,1888,0.4863335001,0.0613186865,0.0613639520,0.0627391677
2,soft_all_r2_l0_p4,2025,756,0.5328746836,0.0746876384,0.0747707803,0.0760137763
2,soft_all_r2_l0_p4,new,2267,0.5162231460,0.0678595844,0.0679328117,0.0692899392
2,soft_all_r2_l0_p4,shared,377,0.3932768852,0.0481476525,0.0481479886,0.0492841835
2,soft_all_r2_l0_p4,new_2025,379,0.6765984953,0.0937705682,0.0940523341,0.0954441404
2,soft_all_r2_l0_p4,shared_2025,377,0.3932768852,0.0481476525,0.0481479886,0.0492841835
2,soft_all_r2_l0_p4,near_0_2,1725,0.5413116744,0.0633431837,0.0634670883,0.0651376777
2,soft_all_r2_l0_p4,mid_2_8,425,0.6226084970,0.0706891286,0.0709848862,0.0729707172
2,soft_all_r2_l0_p4,far_or_none,494,0.0413466827,0.0669970513,0.0674272673,0.0670027871
2,soft_all_r2_l0_p4,source_s2,1186,0.5569979270,0.0612344899,0.0613663865,0.0628744879
2,soft_all_r2_l0_p4,source_landsat,1025,0.5316719641,0.0717736933,0.0718506234,0.0730178705
2,soft_all_r2_l0_p4,source_modis,433,0.3684206357,0.0603591291,0.0603688098,0.0616627658
2,soft_all_r32_l0_p4,all,2644,0.2746790458,0.0664699183,0.0665397261,0.0668046092
2,soft_all_r32_l0_p4,history,1888,0.3254068785,0.0621998077,0.0622282656,0.0627391677
2,soft_all_r32_l0_p4,2025,756,0.1061464855,0.0759783149,0.0762496670,0.0760137763
2,soft_all_r32_l0_p4,new,2267,0.3141993498,0.0688558264,0.0688882931,0.0692899392
2,soft_all_r32_l0_p4,shared,377,0.0000000000,0.0492841835,0.0501492390,0.0492841835
2,soft_all_r32_l0_p4,new_2025,379,0.2375341962,0.0953070577,0.0953712112,0.0954441404
2,soft_all_r32_l0_p4,shared_2025,377,0.0000000000,0.0492841835,0.0501492390,0.0492841835
2,soft_all_r32_l0_p4,near_0_2,1725,0.2366861140,0.0649020970,0.0650143640,0.0651376777
2,soft_all_r32_l0_p4,mid_2_8,425,0.6231908051,0.0707091150,0.0710032284,0.0729707172
2,soft_all_r32_l0_p4,far_or_none,494,0.0000000000,0.0670027871,0.0678238462,0.0670027871
2,soft_all_r32_l0_p4,source_s2,1186,0.2990461479,0.0625045495,0.0625468198,0.0628744879
2,soft_all_r32_l0_p4,source_landsat,1025,0.2145145023,0.0728611316,0.0729783514,0.0730178705
2,soft_all_r32_l0_p4,source_modis,433,0.3103588253,0.0608662577,0.0609331030,0.0616627658
