seed,method,n,rmse,slice
0,blend_soft_crop_r1_l0.25_p2_0.50,2644,0.070534443,
0,soft_crop_r1_l0.25_p4,2644,0.072345670,
0,blend_soft_crop_r1_l0.25_p4_0.20,2644,0.070741522,
0,blend_soft_crop_r1_l0.25_p4_0.30,2644,0.070582603,
0,blend_soft_crop_r1_l0.25_p4_0.40,2644,0.070527011,
0,blend_soft_crop_r1_l0.25_p4_0.50,2644,0.070574989,
0,soft_crop_r1_l1_p1,2644,0.071886048,
0,blend_soft_crop_r1_l1_p1_0.20,2644,0.070913473,
0,blend_soft_crop_r1_l1_p1_0.30,2644,0.070791154,
0,blend_soft_crop_r1_l1_p1_0.40,2644,0.070738721,
0,blend_soft_crop_r1_l1_p1_0.50,2644,0.070756331,
0,soft_crop_r1_l1_p2,2644,0.072038918,
0,blend_soft_crop_r1_l1_p2_0.20,2644,0.070826448,
0,blend_soft_crop_r1_l1_p2_0.30,2644,0.070682551,
0,blend_soft_crop_r1_l1_p2_0.40,2644,0.070623399,
0,blend_soft_crop_r1_l1_p2_0.50,2644,0.070649207,
0,soft_crop_r1_l1_p4,2644,0.072359368,
0,blend_soft_crop_r1_l1_p4_0.20,2644,0.070796878,
0,blend_soft_crop_r1_l1_p4_0.30,2644,0.070655938,
0,blend_soft_crop_r1_l1_p4_0.40,2644,0.070611685,
0,blend_soft_crop_r1_l1_p4_0.50,2644,0.070664298,
0,soft_all_r1_l0_p1,2644,0.072056642,
0,blend_soft_all_r1_l0_p1_0.20,2644,0.070767902,
0,blend_soft_all_r1_l0_p1_0.30,2644,0.070606220,
0,blend_soft_all_r1_l0_p1_0.40,2644,0.070537119,
0,blend_soft_all_r1_l0_p1_0.50,2644,0.070560870,
0,soft_all_r1_l0_p2,2644,0.072141402,
0,blend_soft_all_r1_l0_p2_0.20,2644,0.070739049,
0,blend_soft_all_r1_l0_p2_0.30,2644,0.070571508,
0,blend_soft_all_r1_l0_p2_0.40,2644,0.070502362,
0,blend_soft_all_r1_l0_p2_0.50,2644,0.070531897,
0,soft_all_r1_l0_p4,2644,0.072351948,
0,blend_soft_all_r1_l0_p4_0.20,2644,0.070744551,
0,blend_soft_all_r1_l0_p4_0.30,2644,0.070586828,
0,blend_soft_all_r1_l0_p4_0.40,2644,0.070532212,
0,blend_soft_all_r1_l0_p4_0.50,2644,0.070580940,
0,soft_all_r1_l0.25_p1,2644,0.071901808,
0,blend_soft_all_r1_l0.25_p1_0.20,2644,0.070821717,
0,blend_soft_all_r1_l0.25_p1_0.30,2644,0.070671092,
0,blend_soft_all_r1_l0.25_p1_0.40,2644,0.070602306,
0,blend_soft_all_r1_l0.25_p1_0.50,2644,0.070615599,
0,soft_all_r1_l0.25_p2,2644,0.072118507,
0,blend_soft_all_r1_l0.25_p2_0.20,2644,0.070749224,
0,blend_soft_all_r1_l0.25_p2_0.30,2644,0.070584018,
0,blend_soft_all_r1_l0.25_p2_0.40,2644,0.070515334,
0,blend_soft_all_r1_l0.25_p2_0.50,2644,0.070543453,
0,soft_all_r1_l0.25_p4,2644,0.072359085,
0,blend_soft_all_r1_l0.25_p4_0.20,2644,0.070746393,
0,blend_soft_all_r1_l0.25_p4_0.30,2644,0.070589526,
0,blend_soft_all_r1_l0.25_p4_0.40,2644,0.070535715,
0,blend_soft_all_r1_l0.25_p4_0.50,2644,0.070585196,
0,soft_all_r1_l1_p1,2644,0.071889042,
0,blend_soft_all_r1_l1_p1_0.20,2644,0.070913623,
0,blend_soft_all_r1_l1_p1_0.30,2644,0.070791465,
0,blend_soft_all_r1_l1_p1_0.40,2644,0.070739251,
0,blend_soft_all_r1_l1_p1_0.50,2644,0.070757137,
0,soft_all_r1_l1_p2,2644,0.072051805,
0,blend_soft_all_r1_l1_p2_0.20,2644,0.070829034,
0,blend_soft_all_r1_l1_p2_0.30,2644,0.070686443,
0,blend_soft_all_r1_l1_p2_0.40,2644,0.070628603,
0,blend_soft_all_r1_l1_p2_0.50,2644,0.070655721,
0,soft_all_r1_l1_p4,2644,0.072382848,
0,blend_soft_all_r1_l1_p4_0.20,2644,0.070802249,
0,blend_soft_all_r1_l1_p4_0.30,2644,0.070663904,
0,blend_soft_all_r1_l1_p4_0.40,2644,0.070622168,
0,blend_soft_all_r1_l1_p4_0.50,2644,0.070677214,
0,soft_crop_r2_l0_p1,2644,0.071862612,
0,blend_soft_crop_r2_l0_p1_0.20,2644,0.070707631,
0,blend_soft_crop_r2_l0_p1_0.30,2644,0.070519498,
0,blend_soft_crop_r2_l0_p1_0.40,2644,0.070426574,
0,blend_soft_crop_r2_l0_p1_0.50,2644,0.070429236,
0,soft_crop_r2_l0_p2,2644,0.071873455,
0,blend_soft_crop_r2_l0_p2_0.20,2644,0.070669535,
0,blend_soft_crop_r2_l0_p2_0.30,2644,0.070469774,
0,blend_soft_crop_r2_l0_p2_0.40,2644,0.070370302,
0,blend_soft_crop_r2_l0_p2_0.50,2644,0.070371543,
0,soft_crop_r2_l0_p4,2644,0.072031402,
0,blend_soft_crop_r2_l0_p4_0.20,2644,0.070668878,
0,blend_soft_crop_r2_l0_p4_0.30,2644,0.070474957,
0,blend_soft_crop_r2_l0_p4_0.40,2644,0.070385460,
0,blend_soft_crop_r2_l0_p4_0.50,2644,0.070400787,
0,soft_crop_r2_l0.25_p1,2644,0.071712593,
0,blend_soft_crop_r2_l0.25_p1_0.20,2644,0.070759786,
0,blend_soft_crop_r2_l0.25_p1_0.30,2644,0.070582405,
0,blend_soft_crop_r2_l0.25_p1_0.40,2644,0.070489828,
0,blend_soft_crop_r2_l0.25_p1_0.50,2644,0.070482390,
0,soft_crop_r2_l0.25_p2,2644,0.071850216,
0,blend_soft_crop_r2_l0.25_p2_0.20,2644,0.070679387,
0,blend_soft_crop_r2_l0.25_p2_0.30,2644,0.070481853,
0,blend_soft_crop_r2_l0.25_p2_0.40,2644,0.070382770,
0,blend_soft_crop_r2_l0.25_p2_0.50,2644,0.070382553,
0,soft_crop_r2_l0.25_p4,2644,0.072047125,
0,blend_soft_crop_r2_l0.25_p4_0.20,2644,0.070674937,
0,blend_soft_crop_r2_l0.25_p4_0.30,2644,0.070483534,
0,blend_soft_crop_r2_l0.25_p4_0.40,2644,0.070396194,
0,blend_soft_crop_r2_l0.25_p4_0.50,2644,0.070413306,
0,soft_crop_r2_l1_p1,2644,0.071698460,
0,blend_soft_crop_r2_l1_p1_0.20,2644,0.070855597,
0,blend_soft_crop_r2_l1_p1_0.30,2644,0.070707908,
0,blend_soft_crop_r2_l1_p1_0.40,2644,0.070632610,
0,blend_soft_crop_r2_l1_p1_0.50,2644,0.070629934,
0,soft_crop_r2_l1_p2,2644,0.071744592,
0,blend_soft_crop_r2_l1_p2_0.20,2644,0.070745808,
0,blend_soft_crop_r2_l1_p2_0.30,2644,0.070565231,
0,blend_soft_crop_r2_l1_p2_0.40,2644,0.070472036,
0,blend_soft_crop_r2_l1_p2_0.50,2644,0.070466569,
0,soft_crop_r2_l1_p4,2644,0.071993453,
0,blend_soft_crop_r2_l1_p4_0.20,2644,0.070707305,
0,blend_soft_crop_r2_l1_p4_0.30,2644,0.070524074,
0,blend_soft_crop_r2_l1_p4_0.40,2644,0.070439445,
0,blend_soft_crop_r2_l1_p4_0.50,2644,0.070453776,
0,soft_all_r2_l0_p1,2644,0.071888234,
0,blend_soft_all_r2_l0_p1_0.20,2644,0.070721297,
0,blend_soft_all_r2_l0_p1_0.30,2644,0.070538461,
0,blend_soft_all_r2_l0_p1_0.40,2644,0.070449768,
0,blend_soft_all_r2_l0_p1_0.50,2644,0.070455574,
0,soft_all_r2_l0_p2,2644,0.071903656,
0,blend_soft_all_r2_l0_p2_0.20,2644,0.070681984,
0,blend_soft_all_r2_l0_p2_0.30,2644,0.070487315,
0,blend_soft_all_r2_l0_p2_0.40,2644,0.070392139,
0,blend_soft_all_r2_l0_p2_0.50,2644,0.070396859,
0,soft_all_r2_l0_p4,2644,0.072069206,
0,blend_soft_all_r2_l0_p4_0.20,2644,0.070680081,
0,blend_soft_all_r2_l0_p4_0.30,2644,0.070491150,
0,blend_soft_all_r2_l0_p4_0.40,2644,0.070406200,
0,blend_soft_all_r2_l0_p4_0.50,2644,0.070425609,
0,soft_all_r2_l0.25_p1,2644,0.071740258,
0,blend_soft_all_r2_l0.25_p1_0.20,2644,0.070769581,
0,blend_soft_all_r2_l0.25_p1_0.30,2644,0.070596346,
0,blend_soft_all_r2_l0.25_p1_0.40,2644,0.070507390,
0,blend_soft_all_r2_l0.25_p1_0.50,2644,0.070503031,
0,soft_all_r2_l0.25_p2,2644,0.071883917,
0,blend_soft_all_r2_l0.25_p2_0.20,2644,0.070692291,
0,blend_soft_all_r2_l0.25_p2_0.30,2644,0.070500125,
0,blend_soft_all_r2_l0.25_p2_0.40,2644,0.070405646,
0,blend_soft_all_r2_l0.25_p2_0.50,2644,0.070409249,
0,soft_all_r2_l0.25_p4,2644,0.072094091,
0,blend_soft_all_r2_l0.25_p4_0.20,2644,0.070688540,
0,blend_soft_all_r2_l0.25_p4_0.30,2644,0.070503236,
0,blend_soft_all_r2_l0.25_p4_0.40,2644,0.070421485,
0,blend_soft_all_r2_l0.25_p4_0.50,2644,0.070443648,
0,soft_all_r2_l1_p1,2644,0.071718339,
0,blend_soft_all_r2_l1_p1_0.20,2644,0.070859722,
0,blend_soft_all_r2_l1_p1_0.30,2644,0.070714089,
0,blend_soft_all_r2_l1_p1_0.40,2644,0.070640835,
0,blend_soft_all_r2_l1_p1_0.50,2644,0.070640184,
0,soft_all_r2_l1_p2,2644,0.071778993,
0,blend_soft_all_r2_l1_p2_0.20,2644,0.070754853,
0,blend_soft_all_r2_l1_p2_0.30,2644,0.070578446,
0,blend_soft_all_r2_l1_p2_0.40,2644,0.070489159,
0,blend_soft_all_r2_l1_p2_0.50,2644,0.070487326,
0,soft_all_r2_l1_p4,2644,0.072056661,
0,blend_soft_all_r2_l1_p4_0.20,2644,0.070723217,
0,blend_soft_all_r2_l1_p4_0.30,2644,0.070547432,
0,blend_soft_all_r2_l1_p4_0.40,2644,0.070469863,
0,blend_soft_all_r2_l1_p4_0.50,2644,0.070490836,
0,soft_crop_r4_l0_p1,2644,0.071827443,
0,blend_soft_crop_r4_l0_p1_0.20,2644,0.070695788,
0,blend_soft_crop_r4_l0_p1_0.30,2644,0.070502569,
0,blend_soft_crop_r4_l0_p1_0.40,2644,0.070405150,
0,blend_soft_crop_r4_l0_p1_0.50,2644,0.070403929,
0,soft_crop_r4_l0_p2,2644,0.072020936,
0,blend_soft_crop_r4_l0_p2_0.20,2644,0.070694489,
0,blend_soft_crop_r4_l0_p2_0.30,2644,0.070508261,
0,blend_soft_crop_r4_l0_p2_0.40,2644,0.070422957,
0,blend_soft_crop_r4_l0_p2_0.50,2644,0.070438945,
0,soft_crop_r4_l0_p4,2644,0.072315845,
0,blend_soft_crop_r4_l0_p4_0.20,2644,0.070715982,
0,blend_soft_crop_r4_l0_p4_0.30,2644,0.070547858,
0,blend_soft_crop_r4_l0_p4_0.40,2644,0.070485520,
0,blend_soft_crop_r4_l0_p4_0.50,2644,0.070529250,
0,soft_crop_r4_l0.25_p1,2644,0.071725132,
0,blend_soft_crop_r4_l0.25_p1_0.20,2644,0.070746305,
0,blend_soft_crop_r4_l0.25_p1_0.30,2644,0.070565144,
0,blend_soft_crop_r4_l0.25_p1_0.40,2644,0.070470804,
0,blend_soft_crop_r4_l0.25_p1_0.50,2644,0.070463635,
0,soft_crop_r4_l0.25_p2,2644,0.071970121,
0,blend_soft_crop_r4_l0.25_p2_0.20,2644,0.070698173,
0,blend_soft_crop_r4_l0.25_p2_0.30,2644,0.070511164,
0,blend_soft_crop_r4_l0.25_p2_0.40,2644,0.070423311,
0,blend_soft_crop_r4_l0.25_p2_0.50,2644,0.070434985,
0,soft_crop_r4_l0.25_p4,2644,0.072278450,
0,blend_soft_crop_r4_l0.25_p4_0.20,2644,0.070712878,
0,blend_soft_crop_r4_l0.25_p4_0.30,2644,0.070542337,
0,blend_soft_crop_r4_l0.25_p4_0.40,2644,0.070477013,
0,blend_soft_crop_r4_l0.25_p4_0.50,2644,0.070517199,
0,soft_crop_r4_l1_p1,2644,0.071731649,
0,blend_soft_crop_r4_l1_p1_0.20,2644,0.070839819,
0,blend_soft_crop_r4_l1_p1_0.30,2644,0.070688419,
0,blend_soft_crop_r4_l1_p1_0.40,2644,0.070612239,
0,blend_soft_crop_r4_l1_p1_0.50,2644,0.070611523,
0,soft_crop_r4_l1_p2,2644,0.071846617,
0,blend_soft_crop_r4_l1_p2_0.20,2644,0.070750098,
0,blend_soft_crop_r4_l1_p2_0.30,2644,0.070574770,
0,blend_soft_crop_r4_l1_p2_0.40,2644,0.070488890,
0,blend_soft_crop_r4_l1_p2_0.50,2644,0.070492786,
0,soft_crop_r4_l1_p4,2644,0.072100948,
0,blend_soft_crop_r4_l1_p4_0.20,2644,0.070722357,
0,blend_soft_crop_r4_l1_p4_0.30,2644,0.070547997,
0,blend_soft_crop_r4_l1_p4_0.40,2644,0.070473099,
0,blend_soft_crop_r4_l1_p4_0.50,2644,0.070497979,
0,soft_all_r4_l0_p1,2644,0.072365956,
0,blend_soft_all_r4_l0_p1_0.20,2644,0.070815735,
0,blend_soft_all_r4_l0_p1_0.30,2644,0.070680989,
0,blend_soft_all_r4_l0_p1_0.40,2644,0.070640717,
0,blend_soft_all_r4_l0_p1_0.50,2644,0.070695079,
0,soft_all_r4_l0_p2,2644,0.072485187,
0,blend_soft_all_r4_l0_p2_0.20,2644,0.070792701,
0,blend_soft_all_r4_l0_p2_0.30,2644,0.070655282,
0,blend_soft_all_r4_l0_p2_0.40,2644,0.070618308,
0,blend_soft_all_r4_l0_p2_0.50,2644,0.070681936,
0,soft_all_r4_l0_p4,2644,0.072705616,
0,blend_soft_all_r4_l0_p4_0.20,2644,0.070791984,
0,blend_soft_all_r4_l0_p4_0.30,2644,0.070662832,
0,blend_soft_all_r4_l0_p4_0.40,2644,0.070639886,
0,blend_soft_all_r4_l0_p4_0.50,2644,0.070723251,
0,soft_all_r4_l0.25_p1,2644,0.072167458,
0,blend_soft_all_r4_l0.25_p1_0.20,2644,0.070845107,
0,blend_soft_all_r4_l0.25_p1_0.30,2644,0.070712004,
0,blend_soft_all_r4_l0.25_p1_0.40,2644,0.070664583,
0,blend_soft_all_r4_l0.25_p1_0.50,2644,0.070703015,
0,soft_all_r4_l0.25_p2,2644,0.072426525,
0,blend_soft_all_r4_l0.25_p2_0.20,2644,0.070796679,
0,blend_soft_all_r4_l0.25_p2_0.30,2644,0.070658258,
0,blend_soft_all_r4_l0.25_p2_0.40,2644,0.070618271,
0,blend_soft_all_r4_l0.25_p2_0.50,2644,0.070676886,
0,soft_all_r4_l0.25_p4,2644,0.072669930,
0,blend_soft_all_r4_l0.25_p4_0.20,2644,0.070790559,
0,blend_soft_all_r4_l0.25_p4_0.30,2644,0.070659581,
0,blend_soft_all_r4_l0.25_p4_0.40,2644,0.070634071,
0,blend_soft_all_r4_l0.25_p4_0.50,2644,0.070714144,
0,soft_all_r4_l1_p1,2644,0.072025372,
0,blend_soft_all_r4_l1_p1_0.20,2644,0.070904063,
0,blend_soft_all_r4_l1_p1_0.30,2644,0.070784093,
0,blend_soft_all_r4_l1_p1_0.40,2644,0.070738744,
0,blend_soft_all_r4_l1_p1_0.50,2644,0.070768161,
0,soft_all_r4_l1_p2,2644,0.072218096,
0,blend_soft_all_r4_l1_p2_0.20,2644,0.070834846,
0,blend_soft_all_r4_l1_p2_0.30,2644,0.070700451,
0,blend_soft_all_r4_l1_p2_0.40,2644,0.070654326,
0,blend_soft_all_r4_l1_p2_0.50,2644,0.070696646,
0,soft_all_r4_l1_p4,2644,0.072471302,
0,blend_soft_all_r4_l1_p4_0.20,2644,0.070802001,
0,blend_soft_all_r4_l1_p4_0.30,2644,0.070666978,
0,blend_soft_all_r4_l1_p4_0.40,2644,0.070630867,
0,blend_soft_all_r4_l1_p4_0.50,2644,0.070693820,
0,soft_crop_r8_l0_p1,2644,0.071876740,
0,blend_soft_crop_r8_l0_p1_0.20,2644,0.070701086,
0,blend_soft_crop_r8_l0_p1_0.30,2644,0.070511424,
0,blend_soft_crop_r8_l0_p1_0.40,2644,0.070418159,
0,blend_soft_crop_r8_l0_p1_0.50,2644,0.070421672,
0,soft_crop_r8_l0_p2,2644,0.072152750,
0,blend_soft_crop_r8_l0_p2_0.20,2644,0.070719893,
0,blend_soft_crop_r8_l0_p2_0.30,2644,0.070546741,
0,blend_soft_crop_r8_l0_p2_0.40,2644,0.070474691,
0,blend_soft_crop_r8_l0_p2_0.50,2644,0.070504053,
0,soft_crop_r8_l0_p4,2644,0.072530396,
0,blend_soft_crop_r8_l0_p4_0.20,2644,0.070763085,
0,blend_soft_crop_r8_l0_p4_0.30,2644,0.070618073,
0,blend_soft_crop_r8_l0_p4_0.40,2644,0.070578414,
0,blend_soft_crop_r8_l0_p4_0.50,2644,0.070644283,
0,soft_crop_r8_l0.25_p1,2644,0.071733920,
0,blend_soft_crop_r8_l0.25_p1_0.20,2644,0.070746418,
0,blend_soft_crop_r8_l0.25_p1_0.30,2644,0.070565628,
0,blend_soft_crop_r8_l0.25_p1_0.40,2644,0.070471869,
0,blend_soft_crop_r8_l0.25_p1_0.50,2644,0.070465490,
0,soft_crop_r8_l0.25_p2,2644,0.072087837,
0,blend_soft_crop_r8_l0.25_p2_0.20,2644,0.070722722,
0,blend_soft_crop_r8_l0.25_p2_0.30,2644,0.070547975,
0,blend_soft_crop_r8_l0.25_p2_0.40,2644,0.070472307,
0,blend_soft_crop_r8_l0.25_p2_0.50,2644,0.070496038,
0,soft_crop_r8_l0.25_p4,2644,0.072490602,
0,blend_soft_crop_r8_l0.25_p4_0.20,2644,0.070761035,
0,blend_soft_crop_r8_l0.25_p4_0.30,2644,0.070613844,
0,blend_soft_crop_r8_l0.25_p4_0.40,2644,0.070571241,
0,blend_soft_crop_r8_l0.25_p4_0.50,2644,0.070633415,
0,soft_crop_r8_l1_p1,2644,0.071707894,
0,blend_soft_crop_r8_l1_p1_0.20,2644,0.070834300,
0,blend_soft_crop_r8_l1_p1_0.30,2644,0.070680255,
0,blend_soft_crop_r8_l1_p1_0.40,2644,0.070601520,
0,blend_soft_crop_r8_l1_p1_0.50,2644,0.070598346,
0,soft_crop_r8_l1_p2,2644,0.071897841,
0,blend_soft_crop_r8_l1_p2_0.20,2644,0.070767485,
0,blend_soft_crop_r8_l1_p2_0.30,2644,0.070599601,
0,blend_soft_crop_r8_l1_p2_0.40,2644,0.070520285,
0,blend_soft_crop_r8_l1_p2_0.50,2644,0.070529837,
0,soft_crop_r8_l1_p4,2644,0.072291633,
0,blend_soft_crop_r8_l1_p4_0.20,2644,0.070770614,
0,blend_soft_crop_r8_l1_p4_0.30,2644,0.070618795,
0,blend_soft_crop_r8_l1_p4_0.40,2644,0.070565239,
0,blend_soft_crop_r8_l1_p4_0.50,2644,0.070610172,
0,soft_all_r8_l0_p1,2644,0.072998705,
0,blend_soft_all_r8_l0_p1_0.20,2644,0.071002576,
0,blend_soft_all_r8_l0_p1_0.30,2644,0.070950894,
0,blend_soft_all_r8_l0_p1_0.40,2644,0.070986302,
0,blend_soft_all_r8_l0_p1_0.50,2644,0.071108668,
0,soft_all_r8_l0_p2,2644,0.073303250,
0,blend_soft_all_r8_l0_p2_0.20,2644,0.071020391,
0,blend_soft_all_r8_l0_p2_0.30,2644,0.070986063,
0,blend_soft_all_r8_l0_p2_0.40,2644,0.071044394,
0,blend_soft_all_r8_l0_p2_0.50,2644,0.071195156,
0,soft_all_r8_l0_p4,2644,0.073800199,
0,blend_soft_all_r8_l0_p4_0.20,2644,0.071070140,
0,blend_soft_all_r8_l0_p4_0.30,2644,0.071070671,
0,blend_soft_all_r8_l0_p4_0.40,2644,0.071170355,
0,blend_soft_all_r8_l0_p4_0.50,2644,0.071368775,
0,soft_all_r8_l0.25_p1,2644,0.072774672,
0,blend_soft_all_r8_l0.25_p1_0.20,2644,0.071000119,
0,blend_soft_all_r8_l0.25_p1_0.30,2644,0.070939035,
0,blend_soft_all_r8_l0.25_p1_0.40,2644,0.070959607,
0,blend_soft_all_r8_l0.25_p1_0.50,2644,0.071061762,
0,soft_all_r8_l0.25_p2,2644,0.073222350,
0,blend_soft_all_r8_l0.25_p2_0.20,2644,0.071019426,
0,blend_soft_all_r8_l0.25_p2_0.30,2644,0.070981664,
0,blend_soft_all_r8_l0.25_p2_0.40,2644,0.071034603,
0,blend_soft_all_r8_l0.25_p2_0.50,2644,0.071178040,
0,soft_all_r8_l0.25_p4,2644,0.073742099,
0,blend_soft_all_r8_l0.25_p4_0.20,2644,0.071071138,
0,blend_soft_all_r8_l0.25_p4_0.30,2644,0.071069719,
0,blend_soft_all_r8_l0.25_p4_0.40,2644,0.071165827,
0,blend_soft_all_r8_l0.25_p4_0.50,2644,0.071359067,
0,soft_all_r8_l1_p1,2644,0.072509955,
0,blend_soft_all_r8_l1_p1_0.20,2644,0.071005077,
0,blend_soft_all_r8_l1_p1_0.30,2644,0.070935384,
0,blend_soft_all_r8_l1_p1_0.40,2644,0.070939947,
0,blend_soft_all_r8_l1_p1_0.50,2644,0.071018752,
0,soft_all_r8_l1_p2,2644,0.072939854,
0,blend_soft_all_r8_l1_p2_0.20,2644,0.071014876,
0,blend_soft_all_r8_l1_p2_0.30,2644,0.070964781,
0,blend_soft_all_r8_l1_p2_0.40,2644,0.070998707,
0,blend_soft_all_r8_l1_p2_0.50,2644,0.071116537,
0,soft_all_r8_l1_p4,2644,0.073522531,
0,blend_soft_all_r8_l1_p4_0.20,2644,0.071066987,
0,blend_soft_all_r8_l1_p4_0.30,2644,0.071055739,
0,blend_soft_all_r8_l1_p4_0.40,2644,0.071136886,
0,blend_soft_all_r8_l1_p4_0.50,2644,0.071310110,
0,soft_crop_r16_l0_p1,2644,0.072361911,
0,blend_soft_crop_r16_l0_p1_0.20,2644,0.070833346,
0,blend_soft_crop_r16_l0_p1_0.30,2644,0.070703992,
0,blend_soft_crop_r16_l0_p1_0.40,2644,0.070666783,
0,blend_soft_crop_r16_l0_p1_0.50,2644,0.070721866,
0,soft_crop_r16_l0_p2,2644,0.072624124,
0,blend_soft_crop_r16_l0_p2_0.20,2644,0.070860101,
0,blend_soft_crop_r16_l0_p2_0.30,2644,0.070749246,
0,blend_soft_crop_r16_l0_p2_0.40,2644,0.070733886,
0,blend_soft_crop_r16_l0_p2_0.50,2644,0.070814081,
0,soft_crop_r16_l0_p4,2644,0.072906051,
0,blend_soft_crop_r16_l0_p4_0.20,2644,0.070889398,
0,blend_soft_crop_r16_l0_p4_0.30,2644,0.070798623,
0,blend_soft_crop_r16_l0_p4_0.40,2644,0.070806883,
0,blend_soft_crop_r16_l0_p4_0.50,2644,0.070914144,
0,soft_crop_r16_l0.25_p1,2644,0.072198552,
0,blend_soft_crop_r16_l0.25_p1_0.20,2644,0.070854001,
0,blend_soft_crop_r16_l0.25_p1_0.30,2644,0.070724889,
0,blend_soft_crop_r16_l0.25_p1_0.40,2644,0.070681133,
0,blend_soft_crop_r16_l0.25_p1_0.50,2644,0.070722890,
0,soft_crop_r16_l0.25_p2,2644,0.072592420,
