dataset,method,n,rmse_pooled,rmse_mean,mae_mean,rmse_2025,rmse_hidden_doy,rmse_non_hidden_doy,rmse_canon,rmse_noncanon,rmse_shared,rmse_private_only
exact_hidden_doy,hgb_bias_median,1114,0.06349348079362746,0.06389354702595572,0.04420075686884883,,0.06349348079362746,,0.06888324794369419,0.058881762201451616,0.06349348079362746,
exact_hidden_doy,hgb_groupbias_hidden_doy,1114,0.06349348079362746,0.06389354702595572,0.04420075686884883,,0.06349348079362746,,0.06888324794369419,0.058881762201451616,0.06349348079362746,
exact_hidden_doy,hgb_clip_calib_q01_q99,1114,0.06351543295009016,0.06391748926811318,0.044371274465778994,,0.06351543295009016,,0.06888948213251948,0.058918384609496874,0.06351543295009016,
exact_hidden_doy,hgb_shrink_0.98,1114,0.06361112518323009,0.06402405542814642,0.04468229372530685,,0.06361112518323009,,0.06904912942018386,0.05895544596274213,0.06361112518323009,
exact_hidden_doy,hgb_groupbias_canon,1114,0.06364369921287831,0.06404188276960393,0.044398257584568813,,0.06364369921287831,,0.06907312512649426,0.0589961610595033,0.06364369921287831,
exact_hidden_doy,hgb_groupbias_span,1114,0.06365010721781705,0.06405314100533091,0.044377709977328705,,0.06365010721781705,,0.06910909867056,0.05897521483914611,0.06365010721781705,
exact_hidden_doy,hgb_affine_winsor,1114,0.06366028328902848,0.0640463963187275,0.04425482637485676,,0.06366028328902848,,0.06904804949150577,0.05905139968364066,0.06366028328902848,
exact_hidden_doy,hgb_affine,1114,0.06368265806811134,0.06406220342802431,0.044198993447466105,,0.06368265806811134,,0.06906872013368767,0.059075481989658,0.06368265806811134,
exact_hidden_doy,hgb_peer_0.05,1114,0.06380228453123996,0.06413760110381876,0.04490151243488131,,0.06380228453123996,,0.068880908729102,0.05947873443550715,0.06380228453123996,
exact_hidden_doy,hgb_shrink_0.95,1114,0.06442244838477408,0.06485291861449922,0.04610992728757626,,0.06442244838477408,,0.06979535200178243,0.059831705510374596,0.06442244838477408,
exact_hidden_doy,hgb_peer_0.10,1114,0.06522874865338259,0.0654839099418579,0.046514318244118454,,0.06522874865338259,,0.06973749475702125,0.06142837735938405,0.06522874865338259,
exact_hidden_doy,hgb_shrink_0.90,1114,0.0670516857811319,0.06750401236686636,0.04979252954655381,,0.0670516857811319,,0.07214932267855735,0.0627267108656036,0.0670516857811319,
exact_hidden_doy,hgb_peer_0.20,1114,0.07087785344743674,0.07091026756649577,0.05173744216890345,,0.07087785344743674,,0.07375968065068855,0.0685125282608806,0.07087785344743674,
exact_hidden_doy,hgb_peer_0.30,1114,0.07954183054869769,0.07926682710219284,0.05848258259599315,,0.07954183054869769,,0.0804399754908531,0.0788241522044967,0.07954183054869769,
random_private_like,blend_lag_fit_span,7932,0.0694468158686909,0.06938514900878022,0.04258930563950381,0.06242053937073816,0.0694468158686909,,0.07083866834027787,0.06903738487163961,0.05026348765382121,0.07214399780166417
random_private_like,blend_lag_0.20,7932,0.06944909527214516,0.06938749068448459,0.042556569139854554,0.062438112899989955,0.06944909527214516,,0.07072626152411217,0.06907380046949028,0.05039954490552473,0.07213077046231087
random_private_like,blend_lag_0.15,7932,0.06946223639283387,0.0694006556019282,0.04253348431158294,0.06260521257642024,0.06946223639283387,,0.07079336667224573,0.06907088925975462,0.050412169660877866,0.0721440601581715
random_private_like,blend_lag_fit_global,7932,0.0694655600853501,0.06940437109535706,0.04255420116945204,0.06248691771305607,0.0694655600853501,,0.07074862171507434,0.06908851336421508,0.050433470539937734,0.0721453167666123
random_private_like,blend_lag_fit_hidden_doy,7932,0.0694655600853501,0.06940437109535706,0.04255420116945204,0.06248691771305607,0.0694655600853501,,0.07074862171507434,0.06908851336421508,0.050433470539937734,0.0721453167666123
random_private_like,blend_lag_0.25,7932,0.0694902373703474,0.06942876312936022,0.042632781865192926,0.062320146479595474,0.0694902373703474,,0.07073920824473491,0.06912332630778462,0.05044340183578992,0.07217187420712556
random_private_like,blend_lag_fit_canon,7932,0.06949210494680318,0.06942920282019598,0.04256151148888291,0.06254429417068116,0.06949210494680318,,0.07080572861597319,0.06910596943813331,0.05048776462430704,0.0721688127420466
random_private_like,blend_lag_0.10,7932,0.06952962995378696,0.06946823131594144,0.04257138351839861,0.06282105343687623,0.06952962995378696,,0.07094029651709763,0.06911459856901038,0.05048123372567639,0.07221171326334133
random_private_like,blend_lag_0.30,7932,0.0695855664035088,0.06952437034506553,0.042759923054134515,0.06225159263760085,0.0695855664035088,,0.07083216293842516,0.06921936671765942,0.05054359342355908,0.0722672785799604
random_private_like,blend_lag_0.05,7932,0.06965111847321143,0.06959006236471897,0.042658458713471736,0.06308513519088446,0.06965111847321143,,0.07116655664429197,0.06920484006169984,0.050606506027700636,0.07233357724079498
random_private_like,hgb_raw,7932,0.06982641959795943,0.06976586618552615,0.04280183755898967,0.06339685499406654,0.06982641959795943,,0.07147139363973172,0.06934143206599713,0.05078757064000143,0.07250937876009521
random_private_like,hgb_clip_01,7932,0.06982641959795943,0.06976586618552615,0.04280183755898967,0.06339685499406654,0.06982641959795943,,0.07147139363973172,0.06934143206599713,0.05078757064000143,0.07250937876009521
random_private_like,hgb_clip_02_11,7932,0.06982641959795943,0.06976586618552615,0.04280183755898967,0.06339685499406654,0.06982641959795943,,0.07147139363973172,0.06934143206599713,0.05078757064000143,0.07250937876009521
random_private_like,hgb_bias_median,7932,0.06983780718768892,0.06977797966283794,0.0427909859590244,0.06342601278560989,0.06983780718768892,,0.07148847730527116,0.06935111590978804,0.050824345062880576,0.07251788415699052
random_private_like,hgb_groupbias_hidden_doy,7932,0.06983780718768892,0.06977797966283794,0.0427909859590244,0.06342601278560989,0.06983780718768892,,0.07148847730527116,0.06935111590978804,0.050824345062880576,0.07251788415699052
random_private_like,hgb_groupbias_canon,7932,0.06984198943783024,0.06978241530131768,0.0427847217089928,0.06342511550013341,0.06984198943783024,,0.07148721711985744,0.06935692763151817,0.05084442040699548,0.07252024147817884
random_private_like,hgb_groupbias_span,7932,0.06985396820793083,0.06979372318194588,0.042805860979958775,0.06344279310651028,0.06985396820793083,,0.07148991178838314,0.06937168618910443,0.0507903215104789,0.07253999902858273
random_private_like,hgb_affine,7932,0.0698669288519842,0.0698065891813105,0.04284946248893092,0.06340786762151816,0.0698669288519842,,0.07151846689553425,0.06937998086411827,0.05078879597434498,0.07255473277802774
random_private_like,hgb_affine_winsor,7932,0.06987109458990513,0.06981172998052948,0.0429041094773314,0.06339440815757949,0.06987109458990513,,0.07149767828043256,0.06939161506331544,0.050780896848905785,0.07256033068321653
random_private_like,hgb_groupbias_year,7932,0.06989800683064167,0.0698358737546172,0.04279419540594778,0.06340697442150758,0.06989800683064167,,0.07169410511376208,0.06936773339332322,0.05081050346917942,0.07258710926729336
random_private_like,hgb_clip_calib_q01_q99,7932,0.06991107512674898,0.06984954966586022,0.04292055629004044,0.06341604943600375,0.06991107512674898,,0.07150102542653976,0.06944255652507446,0.050833000442950374,0.07259916711931108
random_private_like,hgb_shrink_0.98,7932,0.06993936403961991,0.06988255820318094,0.043288044672245486,0.06337583294157645,0.06993936403961991,,0.07142402839043815,0.069502297360653,0.05079770569709783,0.07263504469790658
random_private_like,hgb_peer_0.05,7932,0.07038601494218906,0.07032302435867689,0.04415866657176812,0.06400185161125684,0.07038601494218906,,0.07136161378525774,0.07010017134851301,0.05130343315869341,0.07307778254281304
random_private_like,hgb_shrink_0.95,7932,0.07056048585478898,0.07051003782022079,0.04462313760842627,0.06385232978567874,0.07056048585478898,,0.07176664367836223,0.07020635278935859,0.05139711770826684,0.07326283367598371
random_private_like,hgb_peer_0.10,7932,0.07216036573640237,0.07209954033553732,0.04665796511155526,0.06584054821723968,0.07216036573640237,,0.07215682583016422,0.07216139364150177,0.053134369872432856,0.07485687419511443
random_private_like,hgb_shrink_0.90,7932,0.07275849332965326,0.07271942841948989,0.04818379661564389,0.0659581937205794,0.07275849332965326,,0.07341739992541516,0.07256603545067485,0.053879416958650915,0.07544128381990174
random_private_like,hgb_peer_0.20,7932,0.07897067889629997,0.07892323402215193,0.05387193892695874,0.0727836130550097,0.07897067889629997,,0.07631701011854493,0.07972471895131059,0.060177749492933294,0.08167766707678802
random_private_like,hgb_peer_0.30,7932,0.0892383219265344,0.0892062708491243,0.06305354298320619,0.08310590137001608,0.0892383219265344,,0.08343378013403076,0.09085442443661385,0.07052430891823282,0.09198194965701285
