_row,anon_polygon_id,date,n16_c60_r125_k2,n16_c60_r125_k3,n16_c80_r125_k2,n16_c80_r125_k3,n12_c60_r125_k2,n8_c80_r125_k3
1621,AOI-0001,2017-08-09,0.23117650,0.23252340,0.23117650,0.23252340,0.23117650,0.23252340
1641,AOI-0001,2017-08-29,0.23315281,0.25861388,0.23315281,0.25861388,0.23315281,0.24754451
1651,AOI-0001,2017-09-08,0.28763997,0.27969217,0.28763997,0.27969217,0.28763997,0.27969217
1657,AOI-0001,2017-09-14,0.35649568,0.36103598,0.35649568,0.36103598,0.35649568,0.36103598
1708,AOI-0001,2018-04-05,0.53078981,0.49882553,0.53078981,0.49882553,0.53078981,0.49882553
1726,AOI-0001,2018-04-23,0.81433265,0.79737275,0.81433265,0.79737275,0.81433265,0.79737275
1734,AOI-0001,2018-05-01,0.81916548,0.80351207,0.81916548,0.80351207,0.81916548,0.80351207
1772,AOI-0001,2018-06-08,0.65859668,0.64890636,0.65859668,0.64890636,0.65859668,0.64890636
1806,AOI-0001,2018-07-12,0.26629356,0.31328581,0.26629356,0.31328581,0.26629356,0.31328581
1884,AOI-0001,2018-09-28,,,,,,
1899,AOI-0001,2018-10-13,0.19824529,0.20601819,0.19824529,0.20601819,0.19824529,0.20601819
1957,AOI-0001,2019-05-11,,,,,,
1977,AOI-0001,2019-05-31,,,,,,
1981,AOI-0001,2019-06-04,,,,,,
1982,AOI-0001,2019-06-05,0.64418563,0.64418563,,,0.64418563,
2002,AOI-0001,2019-06-25,,,,,,
2019,AOI-0001,2019-07-12,,,,,,
2029,AOI-0001,2019-07-22,0.27098427,0.27098427,,,0.27098427,
2036,AOI-0001,2019-07-29,,,,,,
2068,AOI-0001,2019-08-30,,,,,,
2076,AOI-0001,2019-09-07,,,,,,
2077,AOI-0001,2019-09-08,0.30853822,0.30853822,,,0.30853822,
2087,AOI-0001,2019-09-18,,,,,,
2132,AOI-0001,2020-04-03,0.74617759,0.74445945,0.74617759,0.74445945,0.74617759,0.74445945
2155,AOI-0001,2020-04-26,0.74218949,0.74218949,0.74218949,0.74218949,0.74218949,0.74218949
2189,AOI-0001,2020-05-30,0.74566305,0.68821608,0.74566305,0.68821608,0.74566305,0.68821608
2199,AOI-0001,2020-06-09,0.71789087,0.72028397,0.71789087,0.72028397,0.71789087,0.72028397
2234,AOI-0001,2020-07-14,0.20545183,0.20325076,0.20545183,0.20325076,0.20545183,0.20325076
2243,AOI-0001,2020-07-23,0.28815242,0.28815242,0.28815242,0.28815242,0.28815242,0.28815242
2247,AOI-0001,2020-07-27,0.32207704,0.31666456,0.32207704,0.31666456,0.32207704,0.31666456
2259,AOI-0001,2020-08-08,0.21684777,0.22384248,0.21684777,0.22384248,0.21684777,0.22384248
2283,AOI-0001,2020-09-01,0.24050973,0.24050973,0.24050973,0.24050973,0.24050973,0.24050973
2284,AOI-0001,2020-09-02,0.22293782,0.23738132,0.22293782,0.23738132,0.22293782,0.23738132
2294,AOI-0001,2020-09-12,0.22268423,0.22079214,0.22268423,0.22079214,0.22268423,0.22079214
2304,AOI-0001,2020-09-22,0.23191128,0.22701921,0.23191128,0.22701921,0.23191128,0.22701921
2311,AOI-0001,2020-09-29,0.29008790,0.29075783,0.29008790,0.29075783,0.29008790,0.29075783
2323,AOI-0001,2020-10-11,0.25329928,0.25329928,0.25329928,0.25329928,0.25329928,0.25329928
2324,AOI-0001,2020-10-12,0.19926388,0.19890227,0.19926388,0.19890227,0.19926388,0.19890227
2331,AOI-0001,2020-10-19,0.21740690,0.21740690,0.21740690,0.21740690,0.21740690,0.21740690
2387,AOI-0001,2021-05-15,0.29187426,0.29187426,0.28620865,0.28620865,0.29187426,0.28620865
2392,AOI-0001,2021-05-20,0.30896754,0.30896754,0.31183767,0.31183767,0.30896754,0.31183767
2413,AOI-0001,2021-06-10,0.65113365,0.65113365,,,0.65113365,
2435,AOI-0001,2021-07-02,0.45583060,0.45583060,,,0.45583060,
2457,AOI-0001,2021-07-24,0.66901723,0.66901723,0.67752000,0.67752000,0.66901723,0.67752000
2512,AOI-0001,2021-09-17,0.32170557,0.32170557,,,0.32170557,
2580,AOI-0001,2022-04-25,0.70565765,0.70727975,0.70565765,0.70727975,0.70565765,0.70727975
2619,AOI-0001,2022-06-03,0.79224743,0.79224743,0.79224743,0.79224743,0.79224743,0.79224743
2710,AOI-0001,2022-09-02,0.27370160,0.26724996,0.27370160,0.26724996,0.27370160,0.26724996
2738,AOI-0001,2022-09-30,0.30870951,0.30971151,0.30870951,0.30971151,0.30870951,0.30971151
2739,AOI-0001,2022-10-01,0.30056830,0.30056830,0.30056830,0.30056830,0.30056830,0.30056830
2755,AOI-0001,2022-10-17,0.27812991,0.27812991,0.27812991,0.27812991,0.27812991,0.27812991
2823,AOI-0001,2023-05-25,0.74397119,0.74772491,0.74397119,0.74772491,0.74397119,0.74772491
2852,AOI-0001,2023-06-23,0.70546591,0.66883927,0.70546591,0.66883927,0.70546591,0.66883927
2874,AOI-0001,2023-07-15,,,,,,
2888,AOI-0001,2023-07-29,0.34972777,0.34972777,0.34972777,0.34972777,0.34972777,0.34972777
2893,AOI-0001,2023-08-03,,,,,,
2898,AOI-0001,2023-08-08,0.26045063,0.25277558,0.26045063,0.25277558,0.26045063,0.25277558
2903,AOI-0001,2023-08-13,0.22625392,0.20860473,0.22625392,0.20860473,0.22625392,0.20860473
2907,AOI-0001,2023-08-17,0.27736480,0.27736480,0.27736480,0.27736480,0.27736480,0.27736480
2918,AOI-0001,2023-08-28,0.22421085,0.22271432,0.22421085,0.22271432,0.22421085,0.22271432
2919,AOI-0001,2023-08-29,0.32235719,0.30988952,0.32235719,0.30988952,0.32235719,0.30988952
2933,AOI-0001,2023-09-12,0.23138036,0.25142141,0.23138036,0.25142141,0.23138036,0.25142141
2987,AOI-0001,2024-04-06,0.66108045,0.65412396,0.66108045,0.65412396,0.66108045,0.65412396
3035,AOI-0001,2024-05-24,0.70817366,0.67314004,0.70817366,0.67314004,0.70817366,0.67314004
3043,AOI-0001,2024-06-01,0.68086234,0.69455601,0.68086234,0.69455601,0.68086234,0.66412367
3045,AOI-0001,2024-06-03,0.59474831,0.61867148,0.59474831,0.61867148,0.59474831,0.61867148
3051,AOI-0001,2024-06-09,0.44363432,0.48046809,0.44363432,0.48046809,0.44363432,0.48046809
3055,AOI-0001,2024-06-13,0.35661407,0.38387854,0.35661407,0.38387854,0.35661407,0.38387854
3059,AOI-0001,2024-06-17,0.34389643,0.36316853,0.34389643,0.36316853,0.34389643,0.35342793
3065,AOI-0001,2024-06-23,0.24267392,0.25150724,0.24267392,0.25150724,0.24267392,0.25150724
3067,AOI-0001,2024-06-25,0.27774989,0.32077457,0.27774989,0.32077457,0.27774989,0.32077457
3075,AOI-0001,2024-07-03,0.20406625,0.22544226,0.20406625,0.22544226,0.20406625,0.22544226
3145,AOI-0001,2024-09-11,0.16848818,0.17282075,0.16848818,0.17282075,0.16848818,0.17282075
3147,AOI-0001,2024-09-13,0.18728374,0.21224538,0.18728374,0.21224538,0.18728374,0.21224538
3150,AOI-0001,2024-09-16,0.19203270,0.18390133,0.19203270,0.18390133,0.19203270,0.18390133
3163,AOI-0001,2024-09-29,0.23185160,0.22507432,0.23185160,0.22507432,0.23185160,0.22507432
3217,AOI-0001,2025-04-23,0.40840909,0.42285507,0.40840909,0.42285507,0.40840909,0.42285507
3227,AOI-0001,2025-05-03,0.33632434,0.31517023,0.33632434,0.33632434,0.33632434,0.33632434
3258,AOI-0001,2025-06-03,0.45299835,0.48526190,0.45299835,0.48526190,0.45299835,0.48526190
3282,AOI-0001,2025-06-27,0.54072688,0.57235537,0.54072688,0.57235537,0.54072688,0.57235537
3290,AOI-0001,2025-07-05,0.50373833,0.48895176,0.50373833,0.48895176,0.50373833,0.48895176
3297,AOI-0001,2025-07-12,0.43153848,0.39445236,0.43153848,0.39445236,0.43153848,0.39445236
3298,AOI-0001,2025-07-13,0.44596445,0.42732614,0.44596445,0.42732614,0.44596445,0.42732614
3308,AOI-0001,2025-07-23,0.37261822,0.34304762,0.37261822,0.34304762,0.37261822,0.34304762
3313,AOI-0001,2025-07-28,0.32894471,0.30563641,0.32894471,0.30563641,0.32894471,0.30563641
3314,AOI-0001,2025-07-29,0.27531268,0.31367205,0.27531268,0.31367205,0.27531268,0.31367205
3318,AOI-0001,2025-08-02,0.25548306,0.24345398,0.25548306,0.24345398,0.25548306,0.24345398
3405,AOI-0001,2025-10-28,0.34561391,0.34139508,0.28070951,0.28070951,0.34561391,0.28070951
3440,AOI-0002,2025-05-03,0.83449373,0.83447872,0.83449373,0.83447872,0.83449373,0.83447872
3471,AOI-0002,2025-06-03,0.61488115,0.62195914,0.61488115,0.62195914,0.61488115,0.62195914
3494,AOI-0002,2025-06-26,0.41342964,0.43774010,0.41342964,0.43774010,0.41342964,0.43774010
3527,AOI-0002,2025-07-29,0.25887614,0.25314501,0.25887614,0.25314501,0.25887614,0.25314501
3531,AOI-0002,2025-08-02,0.17521061,0.16663222,0.17521061,0.16663222,0.17521061,0.16663222
3542,AOI-0002,2025-08-13,0.25361947,0.25607864,0.25361947,0.25607864,0.25361947,0.25607864
3548,AOI-0002,2025-08-19,0.17540123,0.18527227,0.17540123,0.18527227,0.17540123,0.18527227
3621,AOI-0003,2025-04-01,0.57829878,0.56758099,0.57829878,0.56758099,0.57829878,0.56758099
3638,AOI-0003,2025-04-18,0.77739805,0.78543144,0.77739805,0.78543144,0.77739805,0.78543144
3639,AOI-0003,2025-04-19,0.78065747,0.80533579,0.78065747,0.80533579,0.78065747,0.80533579
3656,AOI-0003,2025-05-06,0.85445843,0.85373551,0.85445843,0.85373551,0.85445843,0.85373551
3685,AOI-0003,2025-06-04,0.75467423,0.76928749,0.75467423,0.76928749,0.75467423,0.76928749
3694,AOI-0003,2025-06-13,0.39657066,0.40453152,0.39657066,0.40453152,0.39657066,0.40453152
3718,AOI-0003,2025-07-07,0.21278159,0.21876036,0.21278159,0.21876036,0.21278159,0.21876036
3724,AOI-0003,2025-07-13,0.18553586,0.18606685,0.18553586,0.18606685,0.18553586,0.18606685
3726,AOI-0003,2025-07-15,0.17645369,0.18209476,0.17645369,0.18209476,0.17645369,0.18209476
3746,AOI-0003,2025-08-04,0.10482183,0.11943106,0.10482183,0.11943106,0.10482183,0.11943106
3749,AOI-0003,2025-08-07,0.17537364,0.16865833,0.17537364,0.16865833,0.17537364,0.16865833
3756,AOI-0003,2025-08-14,0.24351135,0.22013790,0.24351135,0.22013790,0.24351135,0.22013790
3764,AOI-0003,2025-08-22,0.18391810,0.17602404,0.18391810,0.17602404,0.18391810,0.17602404
3765,AOI-0003,2025-08-23,0.23483677,0.23403621,0.23483677,0.23403621,0.23483677,0.23403621
3856,AOI-0004,2025-04-23,0.72045797,0.67857437,0.72045797,0.67857437,0.72045797,0.67857437
3867,AOI-0004,2025-05-04,0.71735229,0.64629370,0.71735229,0.64629370,0.71735229,0.64629370
3887,AOI-0004,2025-05-24,0.63439190,0.60127958,0.63439190,0.60127958,0.63439190,0.60127958
3888,AOI-0004,2025-05-25,0.65204877,0.64222065,0.65204877,0.64222065,0.65204877,0.64222065
3924,AOI-0004,2025-06-30,0.65175760,0.61176246,0.65175760,0.65175760,0.65175760,0.65175760
3936,AOI-0004,2025-07-12,0.51564228,0.53500055,0.51564228,0.53500055,0.51564228,0.53500055
3947,AOI-0004,2025-07-23,0.42228546,0.44486408,0.42228546,0.44486408,0.42228546,0.44486408
3957,AOI-0004,2025-08-02,0.39862903,0.40573115,0.39862903,0.40573115,0.39862903,0.40573115
4000,AOI-0004,2025-09-14,0.39500965,0.40117769,0.39500965,0.40117769,0.39500965,0.40117769
4009,AOI-0004,2025-09-23,0.38280838,0.37381529,0.38280838,0.37381529,0.38280838,0.37381529
4077,AOI-0005,2025-05-01,0.61024290,0.62768580,0.61024290,0.62768580,0.61024290,0.62768580
4079,AOI-0005,2025-05-03,0.66886444,0.68147138,0.66797091,0.66797091,0.66886444,0.66797091
4090,AOI-0005,2025-05-14,0.67069499,0.67294809,0.67069499,0.67294809,0.67069499,0.67294809
4118,AOI-0005,2025-06-11,0.54741173,0.52398373,0.54741173,0.52398373,0.54741173,0.52398373
4158,AOI-0005,2025-07-21,0.42530047,0.41278069,0.42530047,0.41278069,0.42530047,0.41278069
4185,AOI-0005,2025-08-17,0.31683468,0.31879538,0.31683468,0.31879538,0.31683468,0.31879538
4200,AOI-0005,2025-09-01,0.28569769,0.29281475,0.28569769,0.29281475,0.28569769,0.29281475
4260,AOI-0006,2025-04-01,0.22945358,0.23570084,0.22945358,0.23570084,0.22945358,0.23570084
4270,AOI-0006,2025-05-09,0.28121287,0.35277177,0.28121287,0.35277177,0.28121287,0.35277177
4274,AOI-0006,2025-05-25,0.46177590,0.51161142,0.46177590,0.51161142,0.46177590,0.51161142
4292,AOI-0006,2025-07-28,0.36776786,0.33109877,0.36776786,0.33109877,0.36776786,0.33109877
4298,AOI-0006,2025-08-09,0.23730908,0.24086625,0.23730908,0.24086625,0.23730908,0.24086625
4303,AOI-0006,2025-08-22,0.26861692,0.26861692,0.24548137,0.24548137,0.26861692,0.24548137
4306,AOI-0006,2025-08-30,0.27320301,0.27320301,0.26074099,0.26074099,0.27320301,0.26074099
4308,AOI-0006,2025-09-07,0.27067037,0.27067037,0.27067037,0.27067037,0.27067037,0.27067037
4319,AOI-0006,2025-10-28,0.46112876,0.46112876,0.46112876,0.46112876,0.46112876,0.46112876
4320,AOI-0007,2025-04-01,0.24960997,0.29327751,0.24960997,0.29327751,0.24960997,0.29327751
4337,AOI-0007,2025-04-18,0.35859857,0.36314239,0.35859857,0.36314239,0.35859857,0.36314239
4348,AOI-0007,2025-04-29,0.47272431,0.50629086,0.47272431,0.50629086,0.47272431,0.50629086
4350,AOI-0007,2025-05-01,0.55309761,0.46872573,0.55309761,0.46872573,0.55309761,0.46872573
4406,AOI-0007,2025-06-26,0.25061142,0.29139761,0.25061142,0.29139761,0.25061142,0.29139761
4438,AOI-0007,2025-07-28,0.17278257,0.16244049,0.17278257,0.16244049,0.17278257,0.16244049
4454,AOI-0007,2025-08-13,0.25475756,0.24157204,0.25475756,0.24157204,0.25475756,0.24157204
4455,AOI-0007,2025-08-14,0.12436017,0.13218128,0.12436017,0.13218128,0.12436017,0.13218128
4457,AOI-0007,2025-08-16,0.14570903,0.14061578,0.14570903,0.14061578,0.14570903,0.14061578
4483,AOI-0007,2025-09-11,0.09721504,0.11003340,0.09721504,0.11003340,0.09721504,0.11003340
4498,AOI-0007,2025-09-26,0.18010699,0.17061854,0.18010699,0.17061854,0.18010699,0.17061854
4537,AOI-0008,2025-04-17,0.74261437,0.76649425,0.74261437,0.76649425,0.74261437,0.76649425
4541,AOI-0008,2025-04-24,0.82151440,0.84124552,0.82151440,0.84124552,0.82151440,0.84124552
4549,AOI-0008,2025-05-19,0.85367339,0.86088318,0.85367339,0.86088318,0.85367339,0.86088318
4565,AOI-0008,2025-07-08,0.22431193,0.20596869,0.22431193,0.20596869,0.22431193,0.20596869
4570,AOI-0008,2025-07-15,0.15390535,0.15228911,0.15390535,0.15228911,0.15390535,0.15228911
4571,AOI-0008,2025-07-17,0.14295049,0.13824598,0.14295049,0.13824598,0.14295049,0.13824598
4582,AOI-0008,2025-08-13,0.27193657,0.25558853,0.27193657,0.25558853,0.27193657,0.25558853
4594,AOI-0008,2025-09-01,0.17815766,0.16751632,0.17815766,0.16751632,0.17815766,0.16751632
4606,AOI-0008,2025-09-30,0.27548015,0.35256059,0.27548015,0.35256059,0.27548015,0.35256059
4610,AOI-0008,2025-10-16,0.24324705,0.23162449,0.24324705,0.23162449,0.24324705,0.23162449
4612,AOI-0009,2025-04-01,0.49302901,0.49776005,0.49302901,0.49776005,0.49302901,0.49776005
4634,AOI-0009,2025-04-23,0.85294155,0.86342944,0.85294155,0.86342944,0.85294155,0.86342944
4645,AOI-0009,2025-05-04,0.81922312,0.81505045,0.81922312,0.81505045,0.81922312,0.81505045
4702,AOI-0009,2025-06-30,0.22274129,0.22185338,0.22274129,0.22185338,0.22274129,0.22185338
4707,AOI-0009,2025-07-05,0.20077636,0.22506438,0.20077636,0.22506438,0.20077636,0.22506438
4712,AOI-0009,2025-07-10,0.17083855,0.16534632,0.17083855,0.16534632,0.17083855,0.16534632
4727,AOI-0009,2025-07-25,0.18307102,0.17597954,0.18307102,0.17597954,0.18307102,0.17597954
4745,AOI-0009,2025-08-12,0.19440763,0.17941441,0.19440763,0.17941441,0.19440763,0.17941441
4750,AOI-0009,2025-08-17,0.17257320,0.16124253,0.17257320,0.16124253,0.17257320,0.16124253
4755,AOI-0009,2025-08-22,0.17732816,0.17029929,0.17732816,0.17029929,0.17732816,0.17029929
4757,AOI-0009,2025-08-24,0.14549931,0.14854133,0.14549931,0.14854133,0.14549931,0.14854133
4778,AOI-0009,2025-09-14,0.24076555,0.24037876,0.24076555,0.24037876,0.24076555,0.24037876
4780,AOI-0009,2025-09-16,0.17950200,0.17655309,0.17950200,0.17655309,0.17950200,0.17655309
4789,AOI-0009,2025-09-25,0.16432506,0.16151860,0.16432506,0.16151860,0.16432506,0.16151860
4797,AOI-0009,2025-10-03,0.18353106,0.17975391,0.18353106,0.17975391,0.18353106,0.17975391
4833,AOI-0010,2010-06-19,0.29399516,0.33848400,0.29399516,0.33848400,0.29399516,0.33848400
4840,AOI-0010,2010-08-06,0.23660002,0.24404752,0.23660002,0.24404752,0.23660002,0.24404752
4842,AOI-0010,2010-08-22,0.21001832,0.19795693,0.21001832,0.19795693,0.21001832,0.19795693
4859,AOI-0010,2011-06-14,0.66531093,0.66531093,0.66531093,0.66531093,0.66531093,0.66531093
4863,AOI-0010,2011-07-12,0.32672151,0.32672151,0.32672151,0.32672151,0.32672151,0.28206109
4867,AOI-0010,2011-08-09,0.26192142,0.26192142,0.26192142,0.26192142,0.26192142,0.26192142
4868,AOI-0010,2011-08-13,0.29485155,0.29485155,0.29485155,0.29485155,0.29485155,0.31636254
4872,AOI-0010,2011-09-10,0.17706799,0.17706799,0.17706799,0.17706799,0.17706799,0.17706799
4878,AOI-0010,2012-04-13,,,,,0.34652587,
4888,AOI-0010,2012-08-03,,,,,0.27191297,
4897,AOI-0010,2013-04-16,,,,,,0.72116887
4902,AOI-0010,2013-05-25,,,,,,0.69888981
4906,AOI-0010,2013-06-26,,,,,,0.20053787
4908,AOI-0010,2013-07-12,,,,,,
4927,AOI-0010,2014-05-29,0.78282285,0.78896476,0.78282285,0.78896476,0.78282285,0.78896476
4928,AOI-0010,2014-06-06,0.54560668,0.56488696,0.54560668,0.56488696,0.54560668,0.56488696
4929,AOI-0010,2014-06-10,0.54919265,0.55357196,0.54919265,0.55357196,0.54919265,0.52703841
4942,AOI-0010,2014-08-29,0.24968499,0.24208348,0.24968499,0.24208348,0.24968499,0.22973366
4947,AOI-0010,2014-09-30,0.27233415,0.26176245,0.27233415,0.26176245,0.27233415,0.25785433
4953,AOI-0010,2015-04-07,0.23855162,0.23855162,,,0.23855162,
4954,AOI-0010,2015-04-14,0.22553236,0.22553236,,,0.22553236,
4959,AOI-0010,2015-05-25,0.24942279,0.24942279,,,0.24942279,
4979,AOI-0010,2015-10-07,0.21538904,0.21538904,,,0.21538904,
4996,AOI-0010,2016-07-27,0.35568348,0.35568348,0.35568348,0.35568348,0.35568348,0.34759132
4998,AOI-0010,2016-08-12,0.31229245,0.29848075,0.31229245,0.29848075,0.31229245,0.31726754
5002,AOI-0010,2016-09-13,0.25378354,0.25378354,0.25378354,0.25378354,0.25378354,0.27056805
5009,AOI-0010,2017-04-03,0.40428604,0.34215985,0.40428604,0.34215985,0.40428604,0.34215985
5010,AOI-0010,2017-04-07,0.55588300,0.56297825,0.55588300,0.56297825,0.55588300,0.56297825
5034,AOI-0010,2017-08-01,0.14319821,0.13590262,0.14319821,0.13590262,0.14319821,0.13590262
5035,AOI-0010,2017-08-04,0.14858239,0.17067036,0.14858239,0.17067036,0.14858239,0.14664495
5039,AOI-0010,2017-08-13,0.23063955,0.23940840,0.23063955,0.23940840,0.23063955,0.23940840
5045,AOI-0010,2017-08-29,0.18735277,0.17014145,0.18735277,0.17014145,0.18735277,0.17014145
5072,AOI-0010,2018-05-16,0.79123744,0.78390864,0.79123744,0.78390864,0.79123744,0.78390864
5087,AOI-0010,2018-07-28,0.29895710,0.29806727,0.29895710,0.29806727,0.29895710,0.29806727
5090,AOI-0010,2018-08-28,0.17316561,0.17897012,0.17316561,0.17897012,0.17316561,0.17897012
5094,AOI-0010,2018-09-14,0.23892638,0.23518420,0.23892638,0.23518420,0.23892638,0.23518420
5104,AOI-0010,2019-04-06,0.50769426,0.50769426,0.50769426,0.50769426,0.50769426,0.50769426
5110,AOI-0010,2019-04-28,,,,,,
5117,AOI-0010,2019-05-19,,,,,,
5130,AOI-0010,2019-06-20,0.28837013,0.28837013,0.28837013,0.28837013,0.28837013,0.28837013
5133,AOI-0010,2019-06-26,0.30277828,0.30521525,0.30277828,0.30521525,0.30277828,0.30521525
5134,AOI-0010,2019-06-27,0.24715659,0.25946285,0.24715659,0.25946285,0.24715659,0.25946285
5142,AOI-0010,2019-07-20,0.17431350,0.17431350,0.17431350,0.17431350,0.17431350,0.17431350
5150,AOI-0010,2019-08-13,0.24698602,0.24698602,0.24698602,0.24698602,0.24698602,0.24698602
5153,AOI-0010,2019-08-19,0.17085444,0.17085444,0.17085444,0.17085444,0.17085444,0.17085444
5154,AOI-0010,2019-08-21,0.24144741,0.24144741,0.24144741,0.24144741,0.24144741,0.24144741
5169,AOI-0010,2019-09-23,0.18919134,0.18919134,0.18919134,0.18919134,0.18919134,0.18919134
5198,AOI-0010,2020-06-06,0.55988240,0.58882122,0.55988240,0.58882122,0.55988240,0.58882122
5199,AOI-0010,2020-06-09,0.61655547,0.62032392,0.61655547,0.62032392,0.61655547,0.62032392
5211,AOI-0010,2020-07-16,0.13174233,0.13742927,0.13174233,0.13742927,0.13174233,0.13742927
5212,AOI-0010,2020-07-19,0.11990389,0.12667812,0.11990389,0.12667812,0.11990389,0.12667812
5214,AOI-0010,2020-07-26,0.16593634,0.16719691,0.16593634,0.16719691,0.16593634,0.16719691
5217,AOI-0010,2020-07-31,0.16605350,0.16621667,0.16605350,0.16621667,0.16605350,0.16621667
5235,AOI-0010,2020-09-09,0.18249543,0.18432351,0.18249543,0.18432351,0.18249543,0.18432351
5238,AOI-0010,2020-09-13,0.23819127,0.23705970,0.23819127,0.23705970,0.23819127,0.23705970
5242,AOI-0010,2020-09-19,0.15189878,0.14915975,0.15189878,0.14915975,0.15189878,0.14915975
5246,AOI-0010,2020-09-27,0.17012877,0.15814951,0.17012877,0.15814951,0.17012877,0.15814951
5263,AOI-0010,2021-05-05,,,,,,
5265,AOI-0010,2021-05-09,,,,,,
5290,AOI-0010,2021-07-28,,,,,,
5294,AOI-0010,2021-08-05,,,,,,
5303,AOI-0010,2021-09-04,,,,,,
5308,AOI-0010,2021-09-17,,,,,,
5319,AOI-0010,2021-10-27,,,,,,
5335,AOI-0010,2022-06-06,0.74730928,0.74730928,0.74730928,0.74730928,0.74730928,0.74730928
5338,AOI-0010,2022-06-10,0.74569413,0.74309559,0.74569413,0.74309559,0.74569413,0.74309559
5339,AOI-0010,2022-06-11,0.71089469,0.71909257,0.71089469,0.71909257,0.71089469,0.71909257
5351,AOI-0010,2022-07-17,0.30824042,0.30824042,0.30824042,0.30824042,0.30824042,0.30824042
5353,AOI-0010,2022-07-28,0.37723788,0.36288327,0.37723788,0.36288327,0.37723788,0.36288327
5369,AOI-0010,2022-09-08,0.28798237,0.28265261,0.28798237,0.28265261,0.28798237,0.28265261
5382,AOI-0010,2023-04-02,0.51813587,0.47909541,0.51813587,0.47909541,0.51813587,0.47909541
5386,AOI-0010,2023-04-27,0.66184634,0.67606728,0.66184634,0.67606728,0.66184634,0.67606728
5395,AOI-0010,2023-06-08,0.70707187,0.68196844,0.70707187,0.68196844,0.70707187,0.68196844
5397,AOI-0010,2023-06-16,0.65301053,0.64348361,0.65301053,0.64348361,0.65301053,0.64348361
5423,AOI-0010,2023-08-23,0.26111708,0.25170939,0.26111708,0.25170939,0.26111708,0.25170939
5427,AOI-0010,2023-08-30,0.27192485,0.26779207,0.27192485,0.26779207,0.27192485,0.26779207
5433,AOI-0010,2023-09-19,0.26222366,0.26035267,0.26222366,0.26035267,0.26222366,0.26035267
5451,AOI-0010,2024-04-04,0.63151765,0.64057517,0.63151765,0.64057517,0.63151765,0.64057517
