anon_polygon_id,date,year,doy,primary_ndvi_pred
AOI-0002,2025-07-29,,,
AOI-0002,2025-08-02,,,
AOI-0002,2025-08-13,,,
AOI-0002,2025-08-19,,,
AOI-0003,2025-04-01,,,
AOI-0003,2025-04-18,,,
AOI-0003,2025-04-19,,,
AOI-0003,2025-05-06,,,
AOI-0003,2025-06-04,,,
AOI-0003,2025-06-13,,,
AOI-0003,2025-07-07,,,
AOI-0003,2025-07-13,,,
AOI-0003,2025-07-15,,,
AOI-0003,2025-08-04,,,
AOI-0003,2025-08-07,,,
AOI-0003,2025-08-14,,,
AOI-0003,2025-08-22,,,
AOI-0003,2025-08-23,,,
AOI-0004,2025-04-23,,,
AOI-0004,2025-05-04,,,
AOI-0004,2025-05-24,,,
AOI-0004,2025-05-25,,,
AOI-0004,2025-06-30,,,
AOI-0004,2025-07-12,,,
AOI-0004,2025-07-23,,,
AOI-0004,2025-08-02,,,
AOI-0004,2025-09-14,,,
AOI-0004,2025-09-23,,,
AOI-0005,2025-05-01,,,
AOI-0005,2025-05-03,,,
AOI-0005,2025-05-14,,,
AOI-0005,2025-06-11,,,
AOI-0005,2025-07-21,,,
AOI-0005,2025-08-17,,,
AOI-0005,2025-09-01,,,
AOI-0006,2025-04-01,,,
AOI-0006,2025-05-09,,,
AOI-0006,2025-05-25,,,
AOI-0006,2025-07-28,,,
AOI-0006,2025-08-09,,,
AOI-0006,2025-08-22,,,
AOI-0006,2025-08-30,,,
AOI-0006,2025-09-07,,,
AOI-0006,2025-10-28,,,
AOI-0007,2025-04-01,,,
AOI-0007,2025-04-18,,,
AOI-0007,2025-04-29,,,
AOI-0007,2025-05-01,,,
AOI-0007,2025-06-26,,,
AOI-0007,2025-07-28,,,
AOI-0007,2025-08-13,,,
AOI-0007,2025-08-14,,,
AOI-0007,2025-08-16,,,
AOI-0007,2025-09-11,,,
AOI-0007,2025-09-26,,,
AOI-0008,2025-04-17,,,
AOI-0008,2025-04-24,,,
AOI-0008,2025-05-19,,,
AOI-0008,2025-07-08,,,
AOI-0008,2025-07-15,,,
AOI-0008,2025-07-17,,,
AOI-0008,2025-08-13,,,
AOI-0008,2025-09-01,,,
AOI-0008,2025-09-30,,,
AOI-0008,2025-10-16,,,
AOI-0009,2025-04-01,,,
AOI-0009,2025-04-23,,,
AOI-0009,2025-05-04,,,
AOI-0009,2025-06-30,,,
AOI-0009,2025-07-05,,,
AOI-0009,2025-07-10,,,
AOI-0009,2025-07-25,,,
AOI-0009,2025-08-12,,,
AOI-0009,2025-08-17,,,
AOI-0009,2025-08-22,,,
AOI-0009,2025-08-24,,,
AOI-0009,2025-09-14,,,
AOI-0009,2025-09-16,,,
AOI-0009,2025-09-25,,,
AOI-0009,2025-10-03,,,
AOI-0010,2010-06-19,,,
AOI-0010,2010-08-06,,,
AOI-0010,2010-08-22,,,
AOI-0010,2011-06-14,,,
AOI-0010,2011-07-12,,,
AOI-0010,2011-08-09,,,
AOI-0010,2011-08-13,,,
AOI-0010,2011-09-10,,,
AOI-0010,2012-04-13,,,
AOI-0010,2012-08-03,,,
AOI-0010,2013-04-16,,,
AOI-0010,2013-05-25,,,
AOI-0010,2013-06-26,,,
AOI-0010,2013-07-12,,,
AOI-0010,2014-05-29,,,
AOI-0010,2014-06-06,,,
AOI-0010,2014-06-10,,,
AOI-0010,2014-08-29,,,
AOI-0010,2014-09-30,,,
AOI-0010,2015-04-07,,,
AOI-0010,2015-04-14,,,
AOI-0010,2015-05-25,,,
AOI-0010,2015-10-07,,,
AOI-0010,2016-07-27,,,
AOI-0010,2016-08-12,,,
AOI-0010,2016-09-13,,,
AOI-0010,2017-04-03,,,
AOI-0010,2017-04-07,,,
AOI-0010,2017-08-01,,,
AOI-0010,2017-08-04,,,
AOI-0010,2017-08-13,,,
AOI-0010,2017-08-29,,,
AOI-0010,2018-05-16,,,
AOI-0010,2018-07-28,,,
AOI-0010,2018-08-28,,,
AOI-0010,2018-09-14,,,
AOI-0010,2019-04-06,,,
AOI-0010,2019-04-28,,,
AOI-0010,2019-05-19,,,
AOI-0010,2019-06-20,,,
AOI-0010,2019-06-26,,,
AOI-0010,2019-06-27,,,
AOI-0010,2019-07-20,,,
AOI-0010,2019-08-13,,,
AOI-0010,2019-08-19,,,
AOI-0010,2019-08-21,,,
AOI-0010,2019-09-23,,,
AOI-0010,2020-06-06,,,
AOI-0010,2020-06-09,,,
AOI-0010,2020-07-16,,,
AOI-0010,2020-07-19,,,
AOI-0010,2020-07-26,,,
AOI-0010,2020-07-31,,,
AOI-0010,2020-09-09,,,
AOI-0010,2020-09-13,,,
AOI-0010,2020-09-19,,,
AOI-0010,2020-09-27,,,
AOI-0010,2021-05-05,,,
AOI-0010,2021-05-09,,,
AOI-0010,2021-07-28,,,
AOI-0010,2021-08-05,,,
AOI-0010,2021-09-04,,,
AOI-0010,2021-09-17,,,
AOI-0010,2021-10-27,,,
AOI-0010,2022-06-06,,,
AOI-0010,2022-06-10,,,
AOI-0010,2022-06-11,,,
AOI-0010,2022-07-17,,,
AOI-0010,2022-07-28,,,
AOI-0010,2022-09-08,,,
AOI-0010,2023-04-02,,,
AOI-0010,2023-04-27,,,
AOI-0010,2023-06-08,,,
AOI-0010,2023-06-16,,,
AOI-0010,2023-08-23,,,
AOI-0010,2023-08-30,,,
AOI-0010,2023-09-19,,,
AOI-0010,2024-04-04,,,
AOI-0010,2024-04-26,,,
AOI-0010,2024-05-08,,,
AOI-0010,2024-05-21,,,
AOI-0010,2024-06-18,,,
AOI-0010,2024-06-20,,,
AOI-0010,2024-07-08,,,
AOI-0010,2024-07-15,,,
AOI-0010,2024-08-12,,,
AOI-0010,2024-09-06,,,
AOI-0010,2024-09-28,,,
AOI-0010,2024-10-01,,,
AOI-0010,2024-10-15,,,
AOI-0010,2024-10-23,,,
AOI-0010,2025-04-16,,,
AOI-0010,2025-04-18,,,
AOI-0010,2025-05-09,,,
AOI-0010,2025-06-05,,,
AOI-0010,2025-06-07,,,
AOI-0010,2025-06-28,,,
AOI-0010,2025-07-05,,,
AOI-0010,2025-07-06,,,
AOI-0010,2025-07-07,,,
AOI-0010,2025-07-25,,,
AOI-0010,2025-07-30,,,
AOI-0010,2025-08-16,,,
AOI-0010,2025-08-27,,,
AOI-0010,2025-09-16,,,
AOI-0010,2025-09-30,,,
AOI-0010,2025-10-05,,,
AOI-0011,2025-04-07,,,
AOI-0011,2025-04-17,,,
AOI-0011,2025-04-23,,,
AOI-0011,2025-04-28,,,
AOI-0011,2025-05-24,,,
AOI-0011,2025-06-03,,,
AOI-0011,2025-07-12,,,
AOI-0011,2025-08-06,,,
AOI-0011,2025-08-14,,,
AOI-0011,2025-08-19,,,
AOI-0011,2025-08-27,,,
AOI-0011,2025-09-30,,,
AOI-0011,2025-10-03,,,
AOI-0011,2025-10-05,,,
AOI-0012,2025-04-01,,,
AOI-0012,2025-04-28,,,
AOI-0012,2025-05-16,,,
AOI-0012,2025-06-03,,,
AOI-0012,2025-06-05,,,
AOI-0012,2025-06-15,,,
AOI-0012,2025-06-26,,,
AOI-0012,2025-07-10,,,
AOI-0012,2025-07-18,,,
AOI-0012,2025-07-30,,,
AOI-0013,2010-04-16,,,
AOI-0013,2010-06-10,,,
AOI-0013,2010-06-19,,,
AOI-0013,2010-10-24,,,
AOI-0013,2011-04-18,,,
AOI-0013,2011-04-26,,,
AOI-0013,2012-05-08,,,
AOI-0013,2012-06-23,,,
AOI-0013,2012-08-12,,,
AOI-0013,2013-04-16,,,
AOI-0013,2013-04-24,,,
AOI-0013,2013-05-02,,,
AOI-0013,2013-05-09,,,
AOI-0013,2013-06-11,,,
AOI-0013,2013-07-12,,,
AOI-0013,2013-07-28,,,
AOI-0013,2014-05-29,,,
AOI-0013,2014-06-10,,,
AOI-0013,2014-07-28,,,
AOI-0013,2014-08-01,,,
AOI-0013,2014-08-08,,,
AOI-0013,2014-08-13,,,
AOI-0013,2015-05-09,,,
AOI-0013,2015-05-23,,,
AOI-0013,2015-07-12,,,
AOI-0013,2015-08-20,,,
AOI-0013,2015-10-07,,,
AOI-0013,2015-10-16,,,
AOI-0013,2016-05-09,,,
AOI-0013,2016-05-10,,,
AOI-0013,2016-08-12,,,
AOI-0013,2016-08-21,,,
AOI-0013,2016-09-13,,,
AOI-0013,2016-10-09,,,
AOI-0013,2017-04-11,,,
AOI-0013,2017-04-28,,,
AOI-0013,2017-05-01,,,
AOI-0013,2017-05-21,,,
AOI-0013,2017-05-29,,,
AOI-0013,2017-06-30,,,
AOI-0013,2017-07-27,,,
AOI-0013,2017-08-08,,,
AOI-0013,2017-08-24,,,
AOI-0013,2017-09-13,,,
AOI-0013,2017-09-17,,,
AOI-0013,2017-09-30,,,
AOI-0013,2018-05-25,,,
AOI-0013,2018-06-08,,,
AOI-0013,2018-06-15,,,
AOI-0013,2018-07-12,,,
AOI-0013,2018-08-13,,,
AOI-0013,2018-08-27,,,
AOI-0013,2018-09-28,,,
AOI-0013,2018-10-06,,,
AOI-0013,2019-04-01,,,
AOI-0013,2019-05-06,,,
AOI-0013,2019-06-02,,,
AOI-0013,2019-06-05,,,
AOI-0013,2019-06-12,,,
AOI-0013,2019-06-25,,,
AOI-0013,2019-07-17,,,
AOI-0013,2019-07-28,,,
AOI-0013,2019-08-24,,,
AOI-0013,2019-08-31,,,
AOI-0013,2019-09-08,,,
AOI-0013,2019-09-13,,,
AOI-0013,2019-10-02,,,
AOI-0013,2019-10-10,,,
AOI-0013,2019-10-17,,,
AOI-0013,2020-04-22,,,
AOI-0013,2020-05-12,,,
AOI-0013,2020-06-24,,,
AOI-0013,2020-06-26,,,
AOI-0013,2020-08-12,,,
AOI-0013,2020-08-15,,,
AOI-0013,2020-08-16,,,
AOI-0013,2020-08-20,,,
AOI-0013,2020-10-27,,,
AOI-0013,2021-04-23,,,
AOI-0013,2021-06-10,,,
AOI-0013,2021-06-11,,,
AOI-0013,2021-06-21,,,
AOI-0013,2021-07-12,,,
AOI-0013,2021-07-14,,,
AOI-0013,2021-08-20,,,
AOI-0013,2021-10-14,,,
AOI-0013,2021-10-16,,,
AOI-0013,2022-04-02,,,
AOI-0013,2022-04-17,,,
AOI-0013,2022-04-24,,,
AOI-0013,2022-04-25,,,
AOI-0013,2022-06-10,,,
AOI-0013,2022-06-16,,,
AOI-0013,2022-06-26,,,
AOI-0013,2022-07-05,,,
AOI-0013,2022-07-17,,,
AOI-0013,2022-07-22,,,
AOI-0013,2022-08-14,,,
AOI-0013,2022-09-14,,,
AOI-0013,2022-10-07,,,
AOI-0013,2022-10-14,,,
AOI-0013,2023-04-10,,,
AOI-0013,2023-06-21,,,
AOI-0013,2023-06-29,,,
AOI-0013,2023-07-06,,,
AOI-0013,2023-07-12,,,
AOI-0013,2023-07-24,,,
AOI-0013,2023-08-05,,,
AOI-0013,2023-08-20,,,
AOI-0013,2023-08-23,,,
AOI-0013,2023-08-26,,,
AOI-0013,2023-09-11,,,
AOI-0013,2023-09-14,,,
AOI-0013,2023-09-24,,,
AOI-0013,2023-10-05,,,
AOI-0013,2023-10-14,,,
AOI-0013,2023-10-17,,,
AOI-0013,2023-10-19,,,
AOI-0013,2024-04-26,,,
AOI-0013,2024-05-04,,,
AOI-0013,2024-05-23,,,
AOI-0013,2024-05-24,,,
AOI-0013,2024-06-30,,,
AOI-0013,2024-07-02,,,
AOI-0013,2024-07-11,,,
AOI-0013,2024-07-26,,,
AOI-0013,2024-07-27,,,
AOI-0013,2024-08-09,,,
AOI-0013,2024-08-11,,,
AOI-0013,2024-09-03,,,
AOI-0013,2024-09-06,,,
AOI-0013,2024-09-26,,,
AOI-0013,2024-10-08,,,
AOI-0013,2025-04-01,,,
AOI-0013,2025-04-28,,,
AOI-0013,2025-05-16,,,
AOI-0013,2025-05-19,,,
AOI-0013,2025-05-24,,,
AOI-0013,2025-07-07,,,
AOI-0013,2025-07-08,,,
AOI-0013,2025-07-14,,,
AOI-0013,2025-07-21,,,
AOI-0013,2025-07-27,,,
AOI-0013,2025-08-15,,,
AOI-0013,2025-09-03,,,
AOI-0013,2025-09-07,,,
AOI-0014,2010-04-07,,,
AOI-0014,2010-04-24,,,
AOI-0014,2010-06-10,,,
AOI-0014,2010-09-23,,,
AOI-0014,2011-04-19,,,
AOI-0014,2011-04-26,,,
AOI-0014,2011-05-09,,,
AOI-0014,2011-05-28,,,
AOI-0014,2011-06-14,,,
AOI-0014,2011-08-01,,,
AOI-0014,2011-09-14,,,
AOI-0014,2011-09-17,,,
AOI-0014,2011-10-27,,,
AOI-0014,2012-05-06,,,
AOI-0014,2012-06-25,,,
AOI-0014,2012-08-28,,,
AOI-0014,2012-09-04,,,
AOI-0014,2012-09-11,,,
AOI-0014,2012-09-27,,,
AOI-0014,2013-05-09,,,
AOI-0014,2013-06-11,,,
AOI-0014,2013-06-19,,,
AOI-0014,2013-07-28,,,
AOI-0014,2013-09-14,,,
AOI-0014,2013-09-23,,,
AOI-0014,2014-06-26,,,
AOI-0014,2014-06-29,,,
AOI-0014,2014-08-17,,,
AOI-0014,2014-09-30,,,
AOI-0014,2014-10-27,,,
AOI-0014,2015-04-14,,,
AOI-0014,2015-06-16,,,
AOI-0014,2015-06-26,,,
AOI-0014,2015-07-12,,,
AOI-0014,2015-07-27,,,
AOI-0014,2015-08-28,,,
AOI-0014,2016-04-22,,,
AOI-0014,2016-05-09,,,
AOI-0014,2016-06-03,,,
AOI-0014,2016-06-19,,,
AOI-0014,2016-08-13,,,
AOI-0014,2016-08-30,,,
AOI-0014,2017-04-26,,,
AOI-0014,2017-04-28,,,
AOI-0014,2017-05-21,,,
AOI-0014,2017-05-29,,,
AOI-0014,2017-07-23,,,
AOI-0014,2017-07-31,,,
AOI-0014,2017-08-06,,,
AOI-0014,2017-08-21,,,
AOI-0014,2017-09-10,,,
AOI-0014,2017-09-30,,,
AOI-0014,2017-10-08,,,
AOI-0014,2018-04-07,,,
AOI-0014,2018-05-03,,,
AOI-0014,2018-06-24,,,
AOI-0014,2018-07-18,,,
AOI-0014,2018-08-27,,,
AOI-0014,2018-10-06,,,
AOI-0014,2019-04-01,,,
AOI-0014,2019-04-21,,,
AOI-0014,2019-05-01,,,
AOI-0014,2019-05-09,,,
AOI-0014,2019-05-27,,,
AOI-0014,2019-05-28,,,
AOI-0014,2019-06-04,,,
AOI-0014,2019-06-11,,,
AOI-0014,2019-06-15,,,
AOI-0014,2019-06-22,,,
AOI-0014,2019-07-06,,,
AOI-0014,2019-08-14,,,
AOI-0014,2019-08-26,,,
AOI-0014,2020-04-06,,,
AOI-0014,2020-04-07,,,
AOI-0014,2020-04-17,,,
AOI-0014,2020-04-22,,,
AOI-0014,2020-04-25,,,
AOI-0014,2020-05-15,,,
AOI-0014,2020-05-17,,,
AOI-0014,2020-06-04,,,
AOI-0014,2020-06-25,,,
AOI-0014,2020-07-11,,,
AOI-0014,2020-07-27,,,
AOI-0014,2020-08-16,,,
AOI-0014,2020-09-09,,,
AOI-0014,2020-09-24,,,
AOI-0014,2021-04-07,,,
AOI-0014,2021-04-29,,,
AOI-0014,2021-05-25,,,
AOI-0014,2021-08-13,,,
AOI-0014,2021-08-18,,,
AOI-0014,2021-09-14,,,
AOI-0014,2021-10-12,,,
AOI-0014,2021-10-14,,,
AOI-0014,2022-05-15,,,
AOI-0014,2022-05-26,,,
AOI-0014,2022-05-27,,,
AOI-0014,2022-06-24,,,
AOI-0014,2022-07-14,,,
AOI-0014,2022-07-24,,,
AOI-0014,2022-08-22,,,
AOI-0014,2022-08-29,,,
AOI-0014,2022-09-02,,,
AOI-0014,2022-09-08,,,
AOI-0014,2022-09-14,,,
AOI-0014,2023-06-07,,,
AOI-0014,2023-08-10,,,
AOI-0014,2024-04-04,,,
AOI-0014,2024-05-08,,,
AOI-0014,2024-05-09,,,
AOI-0014,2024-05-21,,,
AOI-0014,2024-05-23,,,
AOI-0014,2024-06-08,,,
AOI-0014,2024-07-25,,,
AOI-0014,2024-08-11,,,
AOI-0014,2024-09-01,,,
AOI-0014,2024-09-08,,,
AOI-0014,2024-09-11,,,
AOI-0014,2024-09-18,,,
AOI-0014,2024-09-29,,,
AOI-0014,2024-10-07,,,
AOI-0014,2024-10-30,,,
AOI-0014,2025-04-23,,,
AOI-0014,2025-05-01,,,
AOI-0014,2025-05-27,,,
AOI-0014,2025-06-13,,,
AOI-0014,2025-08-12,,,
AOI-0014,2025-08-15,,,
AOI-0014,2025-08-24,,,
AOI-0014,2025-09-11,,,
AOI-0014,2025-09-14,,,
AOI-0014,2025-09-23,,,
AOI-0014,2025-09-24,,,
AOI-0015,2025-05-04,,,
AOI-0015,2025-05-27,,,
AOI-0015,2025-06-07,,,
AOI-0015,2025-07-03,,,
AOI-0015,2025-07-05,,,
AOI-0015,2025-07-08,,,
AOI-0015,2025-07-13,,,
AOI-0015,2025-07-15,,,
AOI-0015,2025-07-18,,,
AOI-0015,2025-07-21,,,
AOI-0015,2025-07-23,,,
AOI-0015,2025-09-07,,,
AOI-0015,2025-10-13,,,
AOI-0015,2025-10-16,,,
AOI-0015,2025-10-18,,,
AOI-0016,2025-04-19,,,
AOI-0016,2025-05-25,,,
AOI-0016,2025-06-11,,,
AOI-0016,2025-06-26,,,
AOI-0016,2025-07-10,,,
AOI-0016,2025-07-17,,,
AOI-0016,2025-07-18,,,
AOI-0016,2025-08-19,,,
AOI-0016,2025-08-29,,,
AOI-0016,2025-10-17,,,
AOI-0017,2010-06-10,,,
AOI-0017,2010-07-29,,,
AOI-0017,2010-09-23,,,
AOI-0017,2011-04-18,,,
AOI-0017,2011-09-17,,,
AOI-0017,2011-09-26,,,
AOI-0017,2011-09-30,,,
AOI-0017,2011-10-11,,,
AOI-0017,2011-10-27,,,
AOI-0017,2012-07-18,,,
AOI-0017,2012-07-27,,,
AOI-0017,2012-08-28,,,
AOI-0017,2012-09-29,,,
AOI-0017,2013-05-25,,,
AOI-0017,2013-07-12,,,
AOI-0017,2013-08-14,,,
AOI-0017,2013-09-14,,,
AOI-0017,2013-09-30,,,
AOI-0017,2013-10-09,,,
AOI-0017,2013-10-25,,,
AOI-0017,2014-04-23,,,
AOI-0017,2014-06-06,,,
AOI-0017,2014-07-24,,,
AOI-0017,2014-10-04,,,
AOI-0017,2015-04-23,,,
AOI-0017,2015-04-30,,,
AOI-0017,2015-07-11,,,
AOI-0017,2015-07-27,,,
AOI-0017,2015-08-03,,,
AOI-0017,2015-08-29,,,
AOI-0017,2015-10-16,,,
AOI-0017,2016-04-06,,,
AOI-0017,2016-04-07,,,
AOI-0017,2016-06-18,,,
AOI-0017,2016-07-05,,,
AOI-0017,2016-07-27,,,
AOI-0017,2016-08-21,,,
AOI-0017,2016-09-15,,,
AOI-0017,2016-10-15,,,
AOI-0017,2016-10-17,,,
AOI-0017,2017-06-06,,,
AOI-0017,2017-07-31,,,
AOI-0017,2017-08-01,,,
AOI-0017,2017-09-02,,,
AOI-0017,2018-04-05,,,
AOI-0017,2018-05-09,,,
AOI-0017,2018-05-23,,,
AOI-0017,2018-06-20,,,
AOI-0017,2018-07-11,,,
AOI-0017,2018-07-12,,,
AOI-0017,2019-04-25,,,
AOI-0017,2019-04-28,,,
AOI-0017,2019-05-13,,,
AOI-0017,2019-05-18,,,
AOI-0017,2019-05-28,,,
AOI-0017,2019-06-04,,,
AOI-0017,2019-06-12,,,
AOI-0017,2019-06-17,,,
AOI-0017,2019-07-17,,,
AOI-0017,2019-08-06,,,
AOI-0017,2019-08-11,,,
AOI-0017,2019-08-24,,,
AOI-0017,2019-08-29,,,
AOI-0017,2019-08-31,,,
AOI-0017,2019-09-13,,,
AOI-0017,2020-04-25,,,
AOI-0017,2020-04-30,,,
AOI-0017,2020-05-08,,,
AOI-0017,2020-06-06,,,
AOI-0017,2020-06-26,,,
AOI-0017,2020-07-26,,,
AOI-0017,2020-08-18,,,
AOI-0017,2020-09-02,,,
AOI-0017,2020-09-04,,,
AOI-0017,2020-09-09,,,
AOI-0017,2020-09-10,,,
AOI-0017,2020-09-19,,,
AOI-0017,2020-10-12,,,
AOI-0017,2021-04-07,,,
AOI-0017,2021-05-20,,,
AOI-0017,2021-07-02,,,
AOI-0017,2021-08-29,,,
AOI-0017,2021-09-04,,,
AOI-0017,2021-09-27,,,
AOI-0017,2021-10-06,,,
AOI-0017,2021-10-27,,,
AOI-0017,2022-04-17,,,
AOI-0017,2022-04-23,,,
AOI-0017,2022-05-26,,,
AOI-0017,2022-05-27,,,
AOI-0017,2022-06-03,,,
AOI-0017,2022-06-11,,,
AOI-0017,2022-06-30,,,
AOI-0017,2022-07-12,,,
AOI-0017,2022-07-19,,,
AOI-0017,2022-07-24,,,
AOI-0017,2022-08-07,,,
AOI-0017,2022-08-14,,,
AOI-0017,2022-08-15,,,
AOI-0017,2022-08-23,,,
AOI-0017,2022-08-30,,,
AOI-0017,2022-09-17,,,
AOI-0017,2022-10-19,,,
AOI-0017,2023-04-02,,,
AOI-0017,2023-05-06,,,
AOI-0017,2023-06-11,,,
AOI-0017,2023-06-19,,,
AOI-0017,2023-06-22,,,
AOI-0017,2023-07-24,,,
AOI-0017,2023-09-19,,,
AOI-0017,2023-10-12,,,
AOI-0017,2023-10-16,,,
AOI-0017,2023-10-21,,,
AOI-0017,2024-04-04,,,
AOI-0017,2024-06-05,,,
AOI-0017,2024-06-13,,,
AOI-0017,2024-06-28,,,
AOI-0017,2024-07-19,,,
AOI-0017,2024-08-22,,,
AOI-0017,2024-09-01,,,
AOI-0017,2024-09-21,,,
AOI-0017,2024-09-29,,,
AOI-0017,2024-10-08,,,
AOI-0017,2024-10-22,,,
AOI-0017,2025-05-04,,,
AOI-0017,2025-05-27,,,
AOI-0017,2025-06-07,,,
AOI-0017,2025-06-28,,,
AOI-0017,2025-07-07,,,
AOI-0017,2025-08-23,,,
AOI-0017,2025-09-01,,,
AOI-0017,2025-10-02,,,
AOI-0018,2025-04-19,,,
AOI-0018,2025-05-27,,,
AOI-0018,2025-06-13,,,
AOI-0018,2025-06-15,,,
AOI-0018,2025-07-05,,,
AOI-0018,2025-07-07,,,
AOI-0018,2025-07-14,,,
AOI-0018,2025-07-21,,,
AOI-0018,2025-08-19,,,
AOI-0018,2025-08-27,,,
AOI-0018,2025-09-08,,,
AOI-0018,2025-09-24,,,
AOI-0018,2025-10-17,,,
AOI-0019,2025-04-14,,,
AOI-0019,2025-04-17,,,
AOI-0019,2025-04-28,,,
AOI-0019,2025-05-14,,,
AOI-0019,2025-05-25,,,
AOI-0019,2025-06-15,,,
AOI-0019,2025-06-27,,,
AOI-0019,2025-06-30,,,
AOI-0019,2025-07-10,,,
AOI-0019,2025-07-14,,,
AOI-0019,2025-08-14,,,
AOI-0019,2025-08-31,,,
AOI-0019,2025-09-15,,,
AOI-0019,2025-09-23,,,
AOI-0019,2025-09-24,,,
AOI-0019,2025-10-18,,,
AOI-0020,2025-04-18,,,
AOI-0020,2025-04-23,,,
AOI-0020,2025-05-03,,,
AOI-0020,2025-06-03,,,
AOI-0020,2025-06-11,,,
AOI-0020,2025-07-12,,,
AOI-0020,2025-07-21,,,
AOI-0020,2025-07-29,,,
AOI-0020,2025-07-30,,,
AOI-0020,2025-08-19,,,
AOI-0020,2025-10-13,,,
AOI-0021,2025-04-28,,,
