route,held_seed,selected_train_policy,policy,train_rmse,test_rmse,test_base
soft_all_r2_l0_p4,1,dist_new2025_0.70,dist_new2025_0.70,0.0680340392,0.0631344053,0.0644679552
soft_all_r2_l0_p4,1,dist_new2025_0.70,fixed040,0.0681204068,0.0632082417,0.0644679552
soft_all_r2_l0_p4,1,dist_new2025_0.70,distance_50_40_30,0.0680703149,0.0630996969,0.0644679552
soft_all_r2_l0_p4,1,dist_new2025_0.70,cohort_year_dist,0.0680347016,0.0631254322,0.0644679552
soft_all_r2_l0_p4,2,cohort_year_dist,cohort_year_dist,0.0673307319,0.0653505904,0.0668046092
soft_all_r2_l0_p4,2,cohort_year_dist,fixed040,0.0674019167,0.0654782116,0.0668046092
soft_all_r2_l0_p4,2,cohort_year_dist,distance_50_40_30,0.0673533944,0.0653669324,0.0668046092
soft_all_r2_l0_p4,2,cohort_year_dist,cohort_year_dist,0.0673307319,0.0653505904,0.0668046092
soft_all_r2_l0_p4,70404,distance_50_45_25,distance_50_45_25,0.0663426542,0.0683621988,0.0694751110
soft_all_r2_l0_p4,70404,distance_50_45_25,fixed040,0.0664321986,0.0683866966,0.0694751110
soft_all_r2_l0_p4,70404,distance_50_45_25,distance_50_40_30,0.0663533220,0.0683665492,0.0694751110
soft_all_r2_l0_p4,70404,distance_50_45_25,cohort_year_dist,0.0663493609,0.0682954537,0.0694751110
soft_all_r32_l0_p4,0,fixed040,fixed040,0.0667018668,0.0712243719,0.0713661302
soft_all_r32_l0_p4,0,fixed040,fixed040,0.0667018668,0.0712243719,0.0713661302
soft_all_r32_l0_p4,0,fixed040,distance_50_40_30,0.0667826484,0.0713828857,0.0713661302
soft_all_r32_l0_p4,0,fixed040,cohort_year_dist,0.0667845614,0.0713907850,0.0713661302
soft_all_r32_l0_p4,1,fixed040,fixed040,0.0689974665,0.0643302191,0.0644679552
soft_all_r32_l0_p4,1,fixed040,fixed040,0.0689974665,0.0643302191,0.0644679552
soft_all_r32_l0_p4,1,fixed040,distance_50_40_30,0.0690948701,0.0644436152,0.0644679552
soft_all_r32_l0_p4,1,fixed040,cohort_year_dist,0.0690941046,0.0644607727,0.0644679552
soft_all_r32_l0_p4,2,fixed040,fixed040,0.0682954198,0.0665397261,0.0668046092
soft_all_r32_l0_p4,2,fixed040,fixed040,0.0682954198,0.0665397261,0.0668046092
soft_all_r32_l0_p4,2,fixed040,distance_50_40_30,0.0684122196,0.0665926977,0.0668046092
soft_all_r32_l0_p4,2,fixed040,cohort_year_dist,0.0684275925,0.0665595285,0.0668046092
soft_all_r32_l0_p4,70404,fixed040,fixed040,0.0674260667,0.0691484263,0.0694751110
soft_all_r32_l0_p4,70404,fixed040,fixed040,0.0674260667,0.0691484263,0.0694751110
soft_all_r32_l0_p4,70404,fixed040,distance_50_40_30,0.0675353816,0.0692257139,0.0694751110
soft_all_r32_l0_p4,70404,fixed040,cohort_year_dist,0.0675327235,0.0692471722,0.0694751110
post_mode,0,fixed040,fixed040,0.0668188399,0.0712402203,0.0713661302
post_mode,0,fixed040,fixed040,0.0668188399,0.0712402203,0.0713661302
post_mode,0,fixed040,distance_50_40_30,0.0669597212,0.0713643762,0.0713661302
post_mode,0,fixed040,cohort_year_dist,0.0669503030,0.0713679940,0.0713661302
post_mode,1,fixed040,fixed040,0.0690875539,0.0644218191,0.0644679552
post_mode,1,fixed040,fixed040,0.0690875539,0.0644218191,0.0644679552
post_mode,1,fixed040,distance_50_40_30,0.0692260243,0.0645519917,0.0644679552
post_mode,1,fixed040,cohort_year_dist,0.0692155484,0.0645603854,0.0644679552
post_mode,2,fixed040,fixed040,0.0683770599,0.0666571388,0.0668046092
post_mode,2,fixed040,fixed040,0.0683770599,0.0666571388,0.0668046092
post_mode,2,fixed040,distance_50_40_30,0.0685113074,0.0668003684,0.0668046092
post_mode,2,fixed040,cohort_year_dist,0.0685276554,0.0667255657,0.0668046092
post_mode,70404,fixed040,fixed040,0.0674994171,0.0692887233,0.0694751110
post_mode,70404,fixed040,fixed040,0.0674994171,0.0692887233,0.0694751110
post_mode,70404,fixed040,distance_50_40_30,0.0676316569,0.0694374821,0.0694751110
post_mode,70404,fixed040,cohort_year_dist,0.0676109830,0.0694743458,0.0694751110
