audit,seed,cohort,n,peer_coverage,w,rmse,delta
meta_residual_v2_independent_predictions.csv,0,all,2644,0.6955370651,0.0500000000,0.0714587662,-0.0001103902
meta_residual_v2_independent_predictions.csv,0,all,2644,0.6955370651,0.0700000000,0.0714424080,-0.0001267485
meta_residual_v2_independent_predictions.csv,0,all,2644,0.6955370651,0.0800000000,0.0714401937,-0.0001289628
meta_residual_v2_independent_predictions.csv,0,all,2644,0.6955370651,0.1000000000,0.0714476964,-0.0001214601
meta_residual_v2_independent_predictions.csv,0,all,2644,0.6955370651,0.1200000000,0.0714711024,-0.0000980541
meta_residual_v2_independent_predictions.csv,0,all,2644,0.6955370651,0.1500000000,0.0715359930,-0.0000331634
meta_residual_v2_independent_predictions.csv,0,history,1888,0.5974576271,0.0000000000,0.0783223811,0.0000000000
meta_residual_v2_independent_predictions.csv,0,history,1888,0.5974576271,0.0300000000,0.0782105397,-0.0001118414
meta_residual_v2_independent_predictions.csv,0,history,1888,0.5974576271,0.0500000000,0.0781533004,-0.0001690807
meta_residual_v2_independent_predictions.csv,0,history,1888,0.5974576271,0.0700000000,0.0781099550,-0.0002124261
meta_residual_v2_independent_predictions.csv,0,history,1888,0.5974576271,0.0800000000,0.0780935000,-0.0002288811
meta_residual_v2_independent_predictions.csv,0,history,1888,0.5974576271,0.1000000000,0.0780710366,-0.0002513445
meta_residual_v2_independent_predictions.csv,0,history,1888,0.5974576271,0.1200000000,0.0780625110,-0.0002598701
meta_residual_v2_independent_predictions.csv,0,history,1888,0.5974576271,0.1500000000,0.0780758640,-0.0002465171
meta_residual_v2_independent_predictions.csv,0,2025,756,0.9404761905,0.0000000000,0.0509332310,0.0000000000
meta_residual_v2_independent_predictions.csv,0,2025,756,0.9404761905,0.0300000000,0.0509786313,0.0000454003
meta_residual_v2_independent_predictions.csv,0,2025,756,0.9404761905,0.0500000000,0.0510396634,0.0001064324
meta_residual_v2_independent_predictions.csv,0,2025,756,0.9404761905,0.0700000000,0.0511252100,0.0001919789
meta_residual_v2_independent_predictions.csv,0,2025,756,0.9404761905,0.0800000000,0.0511771391,0.0002439081
meta_residual_v2_independent_predictions.csv,0,2025,756,0.9404761905,0.1000000000,0.0512992166,0.0003659856
meta_residual_v2_independent_predictions.csv,0,2025,756,0.9404761905,0.1200000000,0.0514454385,0.0005122075
meta_residual_v2_independent_predictions.csv,0,2025,756,0.9404761905,0.1500000000,0.0517095850,0.0007763539
meta_residual_v2_independent_predictions.csv,0,new2025,379,0.9261213720,0.0000000000,0.0549354761,0.0000000000
meta_residual_v2_independent_predictions.csv,0,new2025,379,0.9261213720,0.0300000000,0.0549360707,0.0000005945
meta_residual_v2_independent_predictions.csv,0,new2025,379,0.9261213720,0.0500000000,0.0549632050,0.0000277289
meta_residual_v2_independent_predictions.csv,0,new2025,379,0.9261213720,0.0700000000,0.0550116965,0.0000762204
meta_residual_v2_independent_predictions.csv,0,new2025,379,0.9261213720,0.0800000000,0.0550439345,0.0001084584
meta_residual_v2_independent_predictions.csv,0,new2025,379,0.9261213720,0.1000000000,0.0551243482,0.0001888721
meta_residual_v2_independent_predictions.csv,0,new2025,379,0.9261213720,0.1200000000,0.0552259324,0.0002904562
meta_residual_v2_independent_predictions.csv,0,new2025,379,0.9261213720,0.1500000000,0.0554177419,0.0004822657
meta_residual_v2_independent_predictions.csv,0,shared2025,377,0.9549071618,0.0000000000,0.0465642964,0.0000000000
meta_residual_v2_independent_predictions.csv,0,shared2025,377,0.9549071618,0.0300000000,0.0466631142,0.0000988179
meta_residual_v2_independent_predictions.csv,0,shared2025,377,0.9549071618,0.0500000000,0.0467646680,0.0002003716
meta_residual_v2_independent_predictions.csv,0,shared2025,377,0.9549071618,0.0700000000,0.0468945530,0.0003302567
meta_residual_v2_independent_predictions.csv,0,shared2025,377,0.9549071618,0.0800000000,0.0469700484,0.0004057520
meta_residual_v2_independent_predictions.csv,0,shared2025,377,0.9549071618,0.1000000000,0.0471419758,0.0005776794
meta_residual_v2_independent_predictions.csv,0,shared2025,377,0.9549071618,0.1200000000,0.0473415602,0.0007772638
meta_residual_v2_independent_predictions.csv,0,shared2025,377,0.9549071618,0.1500000000,0.0476920208,0.0011277244
meta_residual_v2_independent_predictions.csv,1,all,2644,0.6921331316,0.0000000000,0.0644982523,0.0000000000
meta_residual_v2_independent_predictions.csv,1,all,2644,0.6921331316,0.0300000000,0.0644504570,-0.0000477953
meta_residual_v2_independent_predictions.csv,1,all,2644,0.6921331316,0.0500000000,0.0644456090,-0.0000526434
meta_residual_v2_independent_predictions.csv,1,all,2644,0.6921331316,0.0700000000,0.0644623822,-0.0000358701
meta_residual_v2_independent_predictions.csv,1,all,2644,0.6921331316,0.0800000000,0.0644788723,-0.0000193800
meta_residual_v2_independent_predictions.csv,1,all,2644,0.6921331316,0.1000000000,0.0645280390,0.0000297867
meta_residual_v2_independent_predictions.csv,1,all,2644,0.6921331316,0.1200000000,0.0645987442,0.0001004919
meta_residual_v2_independent_predictions.csv,1,all,2644,0.6921331316,0.1500000000,0.0647450265,0.0002467742
meta_residual_v2_independent_predictions.csv,1,history,1888,0.5953389831,0.0000000000,0.0680570784,0.0000000000
meta_residual_v2_independent_predictions.csv,1,history,1888,0.5953389831,0.0300000000,0.0679859032,-0.0000711752
meta_residual_v2_independent_predictions.csv,1,history,1888,0.5953389831,0.0500000000,0.0679610725,-0.0000960060
meta_residual_v2_independent_predictions.csv,1,history,1888,0.5953389831,0.0700000000,0.0679543626,-0.0001027159
meta_residual_v2_independent_predictions.csv,1,history,1888,0.5953389831,0.0800000000,0.0679578051,-0.0000992733
meta_residual_v2_independent_predictions.csv,1,history,1888,0.5953389831,0.1000000000,0.0679782820,-0.0000787965
meta_residual_v2_independent_predictions.csv,1,history,1888,0.5953389831,0.1200000000,0.0680168658,-0.0000402126
meta_residual_v2_independent_predictions.csv,1,history,1888,0.5953389831,0.1500000000,0.0681086211,0.0000515427
meta_residual_v2_independent_predictions.csv,1,2025,756,0.9338624339,0.0000000000,0.0546069512,0.0000000000
meta_residual_v2_independent_predictions.csv,1,2025,756,0.9338624339,0.0300000000,0.0546309988,0.0000240477
meta_residual_v2_independent_predictions.csv,1,2025,756,0.9338624339,0.0500000000,0.0546881228,0.0000811717
meta_residual_v2_independent_predictions.csv,1,2025,756,0.9338624339,0.0700000000,0.0547780093,0.0001710581
meta_residual_v2_independent_predictions.csv,1,2025,756,0.9338624339,0.0800000000,0.0548351903,0.0002282392
meta_residual_v2_independent_predictions.csv,1,2025,756,0.9338624339,0.1000000000,0.0549739009,0.0003669497
meta_residual_v2_independent_predictions.csv,1,2025,756,0.9338624339,0.1200000000,0.0551448659,0.0005379147
meta_residual_v2_independent_predictions.csv,1,2025,756,0.9338624339,0.1500000000,0.0554611225,0.0008541713
meta_residual_v2_independent_predictions.csv,1,new2025,379,0.8997361478,0.0000000000,0.0581564968,0.0000000000
meta_residual_v2_independent_predictions.csv,1,new2025,379,0.8997361478,0.0300000000,0.0583100053,0.0001535086
meta_residual_v2_independent_predictions.csv,1,new2025,379,0.8997361478,0.0500000000,0.0584469159,0.0002904191
meta_residual_v2_independent_predictions.csv,1,new2025,379,0.8997361478,0.0700000000,0.0586112632,0.0004547665
meta_residual_v2_independent_predictions.csv,1,new2025,379,0.8997361478,0.0800000000,0.0587036552,0.0005471584
meta_residual_v2_independent_predictions.csv,1,new2025,379,0.8997361478,0.1000000000,0.0589087155,0.0007522187
meta_residual_v2_independent_predictions.csv,1,new2025,379,0.8997361478,0.1200000000,0.0591405726,0.0009840759
meta_residual_v2_independent_predictions.csv,1,new2025,379,0.8997361478,0.1500000000,0.0595379078,0.0013814111
meta_residual_v2_independent_predictions.csv,1,shared2025,377,0.9681697613,0.0000000000,0.0507891398,0.0000000000
meta_residual_v2_independent_predictions.csv,1,shared2025,377,0.9681697613,0.0300000000,0.0506639028,-0.0001252370
meta_residual_v2_independent_predictions.csv,1,shared2025,377,0.9681697613,0.0500000000,0.0506288812,-0.0001602586
meta_residual_v2_independent_predictions.csv,1,shared2025,377,0.9681697613,0.0700000000,0.0506327422,-0.0001563976
meta_residual_v2_independent_predictions.csv,1,shared2025,377,0.9681697613,0.0800000000,0.0506492545,-0.0001398854
meta_residual_v2_independent_predictions.csv,1,shared2025,377,0.9681697613,0.1000000000,0.0507113949,-0.0000777449
meta_residual_v2_independent_predictions.csv,1,shared2025,377,0.9681697613,0.1200000000,0.0508122286,0.0000230888
meta_residual_v2_independent_predictions.csv,1,shared2025,377,0.9681697613,0.1500000000,0.0510355034,0.0002463636
