anon_polygon_id,date,primary_ndvi_pred_leader,primary_ndvi_pred_archive,year,cohort,delta
AOI-0001,2016-07-20,0.2877133100,0.3056254801,2016,new,0.0179121701
AOI-0001,2016-07-27,0.3600422500,0.3659945949,2016,new,0.0059523449
AOI-0001,2016-08-29,0.2973607700,0.2933620640,2016,new,-0.0039987060
AOI-0001,2016-08-30,0.2706964600,0.2682373279,2016,new,-0.0024591321
AOI-0001,2016-09-15,0.3210844300,0.3016722487,2016,new,-0.0194121813
AOI-0001,2016-09-29,0.5884632800,0.6186735549,2016,new,0.0302102749
AOI-0001,2017-05-12,0.7317572000,0.7531651120,2017,new,0.0214079120
AOI-0001,2017-06-29,0.5235506200,0.5115227528,2017,new,-0.0120278672
AOI-0001,2017-07-12,0.4602986400,0.4513481774,2017,new,-0.0089504626
AOI-0001,2017-08-09,0.3012825600,0.3111032885,2017,new,0.0098207285
AOI-0001,2017-08-29,0.2646137800,0.2645471266,2017,new,-0.0000666534
AOI-0001,2017-09-08,0.2073166300,0.1951195755,2017,new,-0.0121970545
AOI-0001,2017-09-14,0.2925814500,0.2925019102,2017,new,-0.0000795398
AOI-0001,2018-04-05,0.4975464800,0.4507165613,2018,new,-0.0468299187
AOI-0001,2018-04-23,0.7784185200,0.7564619622,2018,new,-0.0219565578
AOI-0001,2018-05-01,0.7984791100,0.8109245057,2018,new,0.0124453957
AOI-0001,2018-06-08,0.6197610200,0.6064186027,2018,new,-0.0133424173
AOI-0001,2018-07-12,0.3070792200,0.3431251651,2018,new,0.0360459451
AOI-0001,2018-09-28,0.1775971700,0.1681329911,2018,new,-0.0094641789
AOI-0001,2018-10-13,0.1786655700,0.1828861886,2018,new,0.0042206186
AOI-0001,2019-05-11,0.5167383900,0.5028878759,2019,new,-0.0138505141
AOI-0001,2019-05-31,0.7122876600,0.7033702158,2019,new,-0.0089174442
AOI-0001,2019-06-04,0.6994961100,0.7021279172,2019,new,0.0026318072
AOI-0001,2019-06-05,0.6984155500,0.6986316720,2019,new,0.0002161220
AOI-0001,2019-06-25,0.3592557700,0.3542966064,2019,new,-0.0049591636
AOI-0001,2019-07-12,0.4527292600,0.4716138125,2019,new,0.0188845525
AOI-0001,2019-07-22,0.3637487800,0.3435800115,2019,new,-0.0201687685
AOI-0001,2019-07-29,0.4432818100,0.4714718621,2019,new,0.0281900521
AOI-0001,2019-08-30,0.2740107300,0.2708738407,2019,new,-0.0031368893
AOI-0001,2019-09-07,0.2722698400,0.2624758821,2019,new,-0.0097939579
AOI-0001,2019-09-08,0.2381521000,0.2252771284,2019,new,-0.0128749716
AOI-0001,2019-09-18,0.1173429100,0.1448656456,2019,new,0.0275227356
AOI-0001,2020-04-03,0.5549629100,0.5356744569,2020,new,-0.0192884531
AOI-0001,2020-04-26,0.6745883900,0.6984966489,2020,new,0.0239082589
AOI-0001,2020-05-30,0.8174404300,0.8343445467,2020,new,0.0169041167
AOI-0001,2020-06-09,0.7628251500,0.7585903034,2020,new,-0.0042348466
AOI-0001,2020-07-14,0.1815187100,0.1758294454,2020,new,-0.0056892646
AOI-0001,2020-07-23,0.2169832400,0.2175051039,2020,new,0.0005218639
AOI-0001,2020-07-27,0.2873648400,0.2819495803,2020,new,-0.0054152597
AOI-0001,2020-08-08,0.1898737800,0.1935679013,2020,new,0.0036941213
AOI-0001,2020-09-01,0.2988782800,0.3065937864,2020,new,0.0077155064
AOI-0001,2020-09-02,0.2816503300,0.2911533944,2020,new,0.0095030644
AOI-0001,2020-09-12,0.2348241600,0.2386171429,2020,new,0.0037929829
AOI-0001,2020-09-22,0.2117572600,0.2244219051,2020,new,0.0126646451
AOI-0001,2020-09-29,0.2549278800,0.2692735543,2020,new,0.0143456743
AOI-0001,2020-10-11,0.2019737800,0.1950964327,2020,new,-0.0068773473
AOI-0001,2020-10-12,0.1502125100,0.1541838139,2020,new,0.0039713039
AOI-0001,2020-10-19,0.1688564000,0.1811003389,2020,new,0.0122439389
AOI-0001,2021-05-15,0.4757601300,0.5000411463,2021,new,0.0242810163
AOI-0001,2021-05-20,0.4680484500,0.4756781158,2021,new,0.0076296658
AOI-0001,2021-06-10,0.5748042500,0.5811728453,2021,new,0.0063685953
AOI-0001,2021-07-02,0.5942020300,0.6147677479,2021,new,0.0205657179
AOI-0001,2021-07-24,0.6491670200,0.6489798247,2021,new,-0.0001871953
AOI-0001,2021-09-17,0.2330731400,0.2422854199,2021,new,0.0092122799
AOI-0001,2022-04-25,0.6124480800,0.6140481471,2022,new,0.0016000671
AOI-0001,2022-06-03,0.7835860600,0.7998507568,2022,new,0.0162646968
AOI-0001,2022-09-02,0.2307720200,0.2335569181,2022,new,0.0027848981
AOI-0001,2022-09-30,0.2791718500,0.2967294078,2022,new,0.0175575578
AOI-0001,2022-10-01,0.2464798100,0.2514326708,2022,new,0.0049528608
AOI-0001,2022-10-17,0.2219215400,0.2344249689,2022,new,0.0125034289
AOI-0001,2023-05-25,0.8213522100,0.7971368981,2023,new,-0.0242153119
AOI-0001,2023-06-23,0.7800895500,0.7932716079,2023,new,0.0131820579
AOI-0001,2023-07-15,0.2708517800,0.2717803740,2023,new,0.0009285940
AOI-0001,2023-07-29,0.2088020900,0.1933454662,2023,new,-0.0154566238
AOI-0001,2023-08-03,0.2025220700,0.1950411874,2023,new,-0.0074808826
AOI-0001,2023-08-08,0.2130273800,0.2276415998,2023,new,0.0146142198
AOI-0001,2023-08-13,0.2573335300,0.2752117973,2023,new,0.0178782673
AOI-0001,2023-08-17,0.2675471500,0.2724555940,2023,new,0.0049084440
AOI-0001,2023-08-28,0.2226574000,0.2256467990,2023,new,0.0029893990
AOI-0001,2023-08-29,0.3075300300,0.3065122154,2023,new,-0.0010178146
AOI-0001,2023-09-12,0.2365922900,0.2278484749,2023,new,-0.0087438151
AOI-0001,2024-04-06,0.6726079200,0.7139632149,2024,new,0.0413552949
AOI-0001,2024-05-24,0.7606611800,0.7558408098,2024,new,-0.0048203702
AOI-0001,2024-06-01,0.7364633600,0.7527000205,2024,new,0.0162366605
AOI-0001,2024-06-03,0.7011322900,0.7369551043,2024,new,0.0358228143
AOI-0001,2024-06-09,0.5643670000,0.5803144186,2024,new,0.0159474186
AOI-0001,2024-06-13,0.5297290700,0.5279411612,2024,new,-0.0017879088
AOI-0001,2024-06-17,0.4807501300,0.4776081583,2024,new,-0.0031419717
AOI-0001,2024-06-23,0.3708699700,0.3380508653,2024,new,-0.0328191047
AOI-0001,2024-06-25,0.3934580100,0.3683816150,2024,new,-0.0250763950
AOI-0001,2024-07-03,0.2905303600,0.3055435719,2024,new,0.0150132119
AOI-0001,2024-09-11,0.1596378100,0.1597060736,2024,new,0.0000682636
AOI-0001,2024-09-13,0.1924383000,0.2032681242,2024,new,0.0108298242
AOI-0001,2024-09-16,0.1611871500,0.1632613055,2024,new,0.0020741555
AOI-0001,2024-09-29,0.2003598800,0.1970957109,2024,new,-0.0032641691
AOI-0001,2025-04-23,0.4727811600,0.4893827558,2025,new,0.0166015958
AOI-0001,2025-05-03,0.3690851100,0.3637508723,2025,new,-0.0053342377
AOI-0001,2025-06-03,0.4345410500,0.4150991170,2025,new,-0.0194419330
AOI-0001,2025-06-27,0.6504823400,0.6579373776,2025,new,0.0074550376
AOI-0001,2025-07-05,0.5822851600,0.5798821860,2025,new,-0.0024029740
AOI-0001,2025-07-12,0.4958359800,0.4863367427,2025,new,-0.0094992373
AOI-0001,2025-07-13,0.4972287500,0.4957401868,2025,new,-0.0014885632
AOI-0001,2025-07-23,0.4119391300,0.4040580808,2025,new,-0.0078810492
AOI-0001,2025-07-28,0.3709113000,0.3743303155,2025,new,0.0034190155
AOI-0001,2025-07-29,0.3930904300,0.3883848963,2025,new,-0.0047055337
AOI-0001,2025-08-02,0.3079523800,0.3220409925,2025,new,0.0140886125
AOI-0001,2025-10-28,0.2283627100,0.2333053421,2025,new,0.0049426321
AOI-0002,2025-05-03,0.8358799500,0.8496110402,2025,shared,0.0137310902
AOI-0002,2025-06-03,0.5697403000,0.5930855640,2025,shared,0.0233452640
AOI-0002,2025-06-26,0.4077688200,0.4122418715,2025,shared,0.0044730515
AOI-0002,2025-07-29,0.2599085100,0.2597402550,2025,shared,-0.0001682550
AOI-0002,2025-08-02,0.1648019700,0.1627060464,2025,shared,-0.0020959236
AOI-0002,2025-08-13,0.2588101500,0.2407902098,2025,shared,-0.0180199402
AOI-0002,2025-08-19,0.1580969600,0.1514659411,2025,shared,-0.0066310189
AOI-0003,2025-04-01,0.5576116500,0.5366579367,2025,shared,-0.0209537133
AOI-0003,2025-04-18,0.8152512700,0.8471344489,2025,shared,0.0318831789
AOI-0003,2025-04-19,0.8406804000,0.8603812916,2025,shared,0.0197008916
AOI-0003,2025-05-06,0.8395208300,0.8296133622,2025,shared,-0.0099074678
AOI-0003,2025-06-04,0.7465482700,0.7622953343,2025,shared,0.0157470643
AOI-0003,2025-06-13,0.5876889700,0.5854788702,2025,shared,-0.0022100998
AOI-0003,2025-07-07,0.1795637200,0.1904113889,2025,shared,0.0108476689
AOI-0003,2025-07-13,0.1749737100,0.1663792881,2025,shared,-0.0085944219
AOI-0003,2025-07-15,0.1664971900,0.1660036638,2025,shared,-0.0004935262
AOI-0003,2025-08-04,0.1655068600,0.1781535133,2025,shared,0.0126466533
AOI-0003,2025-08-07,0.1878475900,0.1821990063,2025,shared,-0.0056485837
AOI-0003,2025-08-14,0.1831929400,0.1872753422,2025,shared,0.0040824022
AOI-0003,2025-08-22,0.1612187200,0.1612005673,2025,shared,-0.0000181527
AOI-0003,2025-08-23,0.2056115000,0.2051155841,2025,shared,-0.0004959159
AOI-0004,2025-04-23,0.6686865100,0.6486253138,2025,shared,-0.0200611962
AOI-0004,2025-05-04,0.6469283900,0.6269728865,2025,shared,-0.0199555035
AOI-0004,2025-05-24,0.6634183500,0.6702602054,2025,shared,0.0068418554
AOI-0004,2025-05-25,0.6982271100,0.6921271736,2025,shared,-0.0060999364
AOI-0004,2025-06-30,0.5972174400,0.6212003223,2025,shared,0.0239828823
AOI-0004,2025-07-12,0.4935175400,0.4982268381,2025,shared,0.0047092981
AOI-0004,2025-07-23,0.4605479400,0.4742126677,2025,shared,0.0136647277
AOI-0004,2025-08-02,0.4052355000,0.4246109785,2025,shared,0.0193754785
AOI-0004,2025-09-14,0.3740686400,0.3800466941,2025,shared,0.0059780541
AOI-0004,2025-09-23,0.3590288200,0.3726570988,2025,shared,0.0136282788
AOI-0005,2025-05-01,0.6602239900,0.6662677164,2025,new,0.0060437264
AOI-0005,2025-05-03,0.6612189700,0.6518749417,2025,new,-0.0093440283
AOI-0005,2025-05-14,0.5558195700,0.5650693536,2025,new,0.0092497836
AOI-0005,2025-06-11,0.6051982700,0.6248742744,2025,new,0.0196760044
AOI-0005,2025-07-21,0.4144807200,0.4108732149,2025,new,-0.0036075051
AOI-0005,2025-08-17,0.3353869900,0.3245068389,2025,new,-0.0108801511
AOI-0005,2025-09-01,0.2600137100,0.2436773742,2025,new,-0.0163363358
AOI-0006,2025-04-01,0.2109858300,0.1873643822,2025,new,-0.0236214478
AOI-0006,2025-05-09,0.3745354500,0.3337026500,2025,new,-0.0408328000
AOI-0006,2025-05-25,0.5493397000,0.5488301323,2025,new,-0.0005095677
AOI-0006,2025-07-28,0.4146479000,0.4189515211,2025,new,0.0043036211
AOI-0006,2025-08-09,0.3226959600,0.2899012532,2025,new,-0.0327947068
AOI-0006,2025-08-22,0.2943402600,0.2955080149,2025,new,0.0011677549
AOI-0006,2025-08-30,0.2549910300,0.2575932894,2025,new,0.0026022594
AOI-0006,2025-09-07,0.2324503400,0.2260748041,2025,new,-0.0063755359
AOI-0006,2025-10-28,0.2344159000,0.2496892336,2025,new,0.0152733336
AOI-0007,2025-04-01,0.2400963600,0.2022550940,2025,shared,-0.0378412660
AOI-0007,2025-04-18,0.2866262900,0.2905075791,2025,shared,0.0038812891
AOI-0007,2025-04-29,0.4074456200,0.4276454486,2025,shared,0.0201998286
AOI-0007,2025-05-01,0.4227913800,0.4302036925,2025,shared,0.0074123125
AOI-0007,2025-06-26,0.3217048400,0.3371951741,2025,shared,0.0154903341
AOI-0007,2025-07-28,0.1573954500,0.1585156279,2025,shared,0.0011201779
AOI-0007,2025-08-13,0.2307397900,0.2285856697,2025,shared,-0.0021541203
AOI-0007,2025-08-14,0.1548234500,0.1555670323,2025,shared,0.0007435823
AOI-0007,2025-08-16,0.1537958800,0.1571731196,2025,shared,0.0033772396
AOI-0007,2025-09-11,0.1559546700,0.1611987926,2025,shared,0.0052441226
AOI-0007,2025-09-26,0.1782687400,0.1814900580,2025,shared,0.0032213180
AOI-0008,2025-04-17,0.8361183800,0.8471847702,2025,shared,0.0110663902
AOI-0008,2025-04-24,0.8492641400,0.8418779002,2025,shared,-0.0073862398
AOI-0008,2025-05-19,0.8760246900,0.8786723604,2025,shared,0.0026476704
AOI-0008,2025-07-08,0.2046455600,0.2004717670,2025,shared,-0.0041737930
AOI-0008,2025-07-15,0.1807900400,0.1794198971,2025,shared,-0.0013701429
AOI-0008,2025-07-17,0.1764646500,0.1788026072,2025,shared,0.0023379572
AOI-0008,2025-08-13,0.2356858600,0.2356881191,2025,shared,0.0000022591
AOI-0008,2025-09-01,0.1392767400,0.1321919048,2025,shared,-0.0070848352
AOI-0008,2025-09-30,0.2535160700,0.2464226530,2025,shared,-0.0070934170
AOI-0008,2025-10-16,0.2349676000,0.2418685962,2025,shared,0.0069009962
AOI-0009,2025-04-01,0.5201213900,0.4885838674,2025,new,-0.0315375226
AOI-0009,2025-04-23,0.8107677700,0.8030860878,2025,new,-0.0076816822
AOI-0009,2025-05-04,0.8560413800,0.8631732983,2025,new,0.0071319183
AOI-0009,2025-06-30,0.1970858600,0.1849372584,2025,new,-0.0121486016
AOI-0009,2025-07-05,0.1993063000,0.1842941554,2025,new,-0.0150121446
AOI-0009,2025-07-10,0.1578869700,0.1589383321,2025,new,0.0010513621
AOI-0009,2025-07-25,0.1604254800,0.1619335730,2025,new,0.0015080930
AOI-0009,2025-08-12,0.1567696600,0.1589949796,2025,new,0.0022253196
AOI-0009,2025-08-17,0.1736554200,0.1703931111,2025,new,-0.0032623089
AOI-0009,2025-08-22,0.1618719700,0.1583631701,2025,new,-0.0035087999
AOI-0009,2025-08-24,0.1409509900,0.1422075342,2025,new,0.0012565442
AOI-0009,2025-09-14,0.2446219400,0.2377321140,2025,new,-0.0068898260
AOI-0009,2025-09-16,0.1732180400,0.1674652290,2025,new,-0.0057528110
AOI-0009,2025-09-25,0.1546223300,0.1634119922,2025,new,0.0087896622
AOI-0009,2025-10-03,0.1616788400,0.1667924932,2025,new,0.0051136532
AOI-0010,2010-06-19,0.3605242500,0.3563941657,2010,new,-0.0041300843
AOI-0010,2010-08-06,0.2102817000,0.2366536001,2010,new,0.0263719001
AOI-0010,2010-08-22,0.2062385000,0.1999879677,2010,new,-0.0062505323
AOI-0010,2011-06-14,0.5183429900,0.4805544592,2011,new,-0.0377885308
AOI-0010,2011-07-12,0.3615053900,0.3683509698,2011,new,0.0068455798
AOI-0010,2011-08-09,0.2515901500,0.2507005849,2011,new,-0.0008895651
AOI-0010,2011-08-13,0.3095452300,0.3194202773,2011,new,0.0098750473
AOI-0010,2011-09-10,0.1997178500,0.2020794946,2011,new,0.0023616446
AOI-0010,2012-04-13,0.2713674500,0.2848388232,2012,new,0.0134713732
AOI-0010,2012-08-03,0.2232430200,0.2227832087,2012,new,-0.0004598113
AOI-0010,2013-04-16,0.6687006800,0.6774227078,2013,new,0.0087220278
AOI-0010,2013-05-25,0.6506551300,0.6713478666,2013,new,0.0206927366
AOI-0010,2013-06-26,0.3312610300,0.3317498147,2013,new,0.0004887847
AOI-0010,2013-07-12,0.3145790300,0.3224627165,2013,new,0.0078836865
AOI-0010,2014-05-29,0.6216320500,0.5795507035,2014,new,-0.0420813465
AOI-0010,2014-06-06,0.5082709100,0.4979238698,2014,new,-0.0103470402
AOI-0010,2014-06-10,0.4204222700,0.4099712459,2014,new,-0.0104510241
AOI-0010,2014-08-29,0.2565325000,0.2588393708,2014,new,0.0023068708
AOI-0010,2014-09-30,0.2492798700,0.2503634179,2014,new,0.0010835479
AOI-0010,2015-04-07,0.3254387900,0.3443177035,2015,new,0.0188789135
AOI-0010,2015-04-14,0.2169664200,0.2057639206,2015,new,-0.0112024994
AOI-0010,2015-05-25,0.3658297500,0.3934004934,2015,new,0.0275707434
AOI-0010,2015-10-07,0.2086884000,0.1898096654,2015,new,-0.0188787346
AOI-0010,2016-07-27,0.3266171300,0.3435804584,2016,new,0.0169633284
AOI-0010,2016-08-12,0.3063450500,0.3034459134,2016,new,-0.0028991366
AOI-0010,2016-09-13,0.2781784600,0.2798404397,2016,new,0.0016619797
AOI-0010,2017-04-03,0.3461996800,0.3480890256,2017,new,0.0018893456
AOI-0010,2017-04-07,0.5451240900,0.5458795197,2017,new,0.0007554297
AOI-0010,2017-08-01,0.1606398200,0.1625051891,2017,new,0.0018653691
AOI-0010,2017-08-04,0.1516333400,0.1575251919,2017,new,0.0058918519
AOI-0010,2017-08-13,0.2434652800,0.2305032868,2017,new,-0.0129619932
AOI-0010,2017-08-29,0.2196340900,0.2145002264,2017,new,-0.0051338636
AOI-0010,2018-05-16,0.8110000600,0.8285767019,2018,new,0.0175766419
AOI-0010,2018-07-28,0.2520498000,0.2742721139,2018,new,0.0222223139
AOI-0010,2018-08-28,0.1755135100,0.1785111939,2018,new,0.0029976839
AOI-0010,2018-09-14,0.2302410100,0.2358998572,2018,new,0.0056588472
AOI-0010,2019-04-06,0.4279718000,0.4226828802,2019,new,-0.0052889198
AOI-0010,2019-04-28,0.7116609400,0.7077998073,2019,new,-0.0038611327
AOI-0010,2019-05-19,0.8306921100,0.8417213343,2019,new,0.0110292243
AOI-0010,2019-06-20,0.2119950100,0.2040009775,2019,new,-0.0079940325
AOI-0010,2019-06-26,0.2584637600,0.2483241899,2019,new,-0.0101395701
AOI-0010,2019-06-27,0.1658858300,0.1537716239,2019,new,-0.0121142061
AOI-0010,2019-07-20,0.1798389500,0.2031096278,2019,new,0.0232706778
AOI-0010,2019-08-13,0.2969712000,0.3021597692,2019,new,0.0051885692
AOI-0010,2019-08-19,0.1722150300,0.1659589820,2019,new,-0.0062560480
AOI-0010,2019-08-21,0.1828161300,0.1696065285,2019,new,-0.0132096015
AOI-0010,2019-09-23,0.1257734200,0.1122000251,2019,new,-0.0135733949
AOI-0010,2020-06-06,0.3523829900,0.3109988311,2020,new,-0.0413841589
AOI-0010,2020-06-09,0.3626246800,0.3611203271,2020,new,-0.0015043529
AOI-0010,2020-07-16,0.1412627900,0.1623757710,2020,new,0.0211129810
AOI-0010,2020-07-19,0.1413421300,0.1589030406,2020,new,0.0175609106
AOI-0010,2020-07-26,0.1466876600,0.1504206373,2020,new,0.0037329773
AOI-0010,2020-07-31,0.1600023200,0.1645160415,2020,new,0.0045137215
AOI-0010,2020-09-09,0.1707137800,0.1598431960,2020,new,-0.0108705840
AOI-0010,2020-09-13,0.2450986400,0.2421005888,2020,new,-0.0029980512
AOI-0010,2020-09-19,0.1342777700,0.1261520684,2020,new,-0.0081257016
AOI-0010,2020-09-27,0.1536898700,0.1486872937,2020,new,-0.0050025763
AOI-0010,2021-05-05,0.3404346400,0.3343506847,2021,new,-0.0060839553
AOI-0010,2021-05-09,0.4950225200,0.4814480401,2021,new,-0.0135744799
AOI-0010,2021-07-28,0.3274139500,0.3255953998,2021,new,-0.0018185502
AOI-0010,2021-08-05,0.2385701300,0.2216202385,2021,new,-0.0169498915
AOI-0010,2021-09-04,0.3062919400,0.3290793885,2021,new,0.0227874485
AOI-0010,2021-09-17,0.3440218500,0.3379252123,2021,new,-0.0060966377
AOI-0010,2021-10-27,0.3706774600,0.3646603405,2021,new,-0.0060171195
AOI-0010,2022-06-06,0.7075320800,0.6991135944,2022,new,-0.0084184856
AOI-0010,2022-06-10,0.6680199800,0.6680128188,2022,new,-0.0000071612
AOI-0010,2022-06-11,0.6741965700,0.6747502526,2022,new,0.0005536826
AOI-0010,2022-07-17,0.2967284900,0.2887396709,2022,new,-0.0079888191
AOI-0010,2022-07-28,0.3535317600,0.3531132568,2022,new,-0.0004185032
AOI-0010,2022-09-08,0.2895707800,0.2812481113,2022,new,-0.0083226687
AOI-0010,2023-04-02,0.5231696000,0.5031764072,2023,new,-0.0199931928
AOI-0010,2023-04-27,0.6630135000,0.6923281325,2023,new,0.0293146325
AOI-0010,2023-06-08,0.7223582700,0.7181525194,2023,new,-0.0042057506
AOI-0010,2023-06-16,0.5949295100,0.6299276354,2023,new,0.0349981254
AOI-0010,2023-08-23,0.2485948500,0.2513932125,2023,new,0.0027983625
AOI-0010,2023-08-30,0.2543186600,0.2349922986,2023,new,-0.0193263614
AOI-0010,2023-09-19,0.2647095600,0.2685125600,2023,new,0.0038030000
AOI-0010,2024-04-04,0.5809030700,0.5963315939,2024,new,0.0154285239
AOI-0010,2024-04-26,0.6877049700,0.7080102896,2024,new,0.0203053196
AOI-0010,2024-05-08,0.7575525700,0.7686944160,2024,new,0.0111418460
AOI-0010,2024-05-21,0.7287424900,0.7237792126,2024,new,-0.0049632774
AOI-0010,2024-06-18,0.2577731100,0.2343950616,2024,new,-0.0233780484
AOI-0010,2024-06-20,0.2282117100,0.2272353371,2024,new,-0.0009763729
AOI-0010,2024-07-08,0.1817777800,0.1854235463,2024,new,0.0036457663
AOI-0010,2024-07-15,0.1750866900,0.1788140218,2024,new,0.0037273318
AOI-0010,2024-08-12,0.2287789100,0.2365092728,2024,new,0.0077303628
AOI-0010,2024-09-06,0.2065962400,0.2023313744,2024,new,-0.0042648656
AOI-0010,2024-09-28,0.2005220100,0.1948875887,2024,new,-0.0056344213
AOI-0010,2024-10-01,0.1889225600,0.1781516453,2024,new,-0.0107709147
AOI-0010,2024-10-15,0.2684528600,0.2728566551,2024,new,0.0044037951
AOI-0010,2024-10-23,0.2090871200,0.2071018959,2024,new,-0.0019852241
AOI-0010,2025-04-16,0.3812030100,0.3870628970,2025,new,0.0058598870
AOI-0010,2025-04-18,0.4325799800,0.4425395977,2025,new,0.0099596177
AOI-0010,2025-05-09,0.7431547400,0.7347002479,2025,new,-0.0084544921
AOI-0010,2025-06-05,0.4977218200,0.5199941502,2025,new,0.0222723302
AOI-0010,2025-06-07,0.4447684000,0.4538308018,2025,new,0.0090624018
AOI-0010,2025-06-28,0.2184627800,0.2055411956,2025,new,-0.0129215844
AOI-0010,2025-07-05,0.1862406300,0.1928993344,2025,new,0.0066587044
AOI-0010,2025-07-06,0.2395117700,0.2396180492,2025,new,0.0001062792
AOI-0010,2025-07-07,0.1738868400,0.1956511987,2025,new,0.0217643587
AOI-0010,2025-07-25,0.1535151300,0.1495407812,2025,new,-0.0039743488
AOI-0010,2025-07-30,0.1594241200,0.1529531625,2025,new,-0.0064709575
AOI-0010,2025-08-16,0.1839648200,0.1840616468,2025,new,0.0000968268
AOI-0010,2025-08-27,0.1757671700,0.1731357621,2025,new,-0.0026314079
AOI-0010,2025-09-16,0.2186933000,0.2181885673,2025,new,-0.0005047327
AOI-0010,2025-09-30,0.3109615400,0.3031929920,2025,new,-0.0077685480
AOI-0010,2025-10-05,0.1859835400,0.1758971042,2025,new,-0.0100864358
AOI-0011,2025-04-07,0.7183317600,0.7129135676,2025,shared,-0.0054181924
AOI-0011,2025-04-17,0.7883451100,0.7898877008,2025,shared,0.0015425908
AOI-0011,2025-04-23,0.8346372000,0.8379435518,2025,shared,0.0033063518
AOI-0011,2025-04-28,0.8467145600,0.8642246903,2025,shared,0.0175101303
AOI-0011,2025-05-24,0.8225251600,0.8276316826,2025,shared,0.0051065226
AOI-0011,2025-06-03,0.5836678700,0.6014883738,2025,shared,0.0178205038
AOI-0011,2025-07-12,0.2815105000,0.2932512836,2025,shared,0.0117407836
AOI-0011,2025-08-06,0.2190744500,0.2121216774,2025,shared,-0.0069527726
AOI-0011,2025-08-14,0.2260347000,0.2243499191,2025,shared,-0.0016847809
AOI-0011,2025-08-19,0.2053897800,0.2003298153,2025,shared,-0.0050599647
AOI-0011,2025-08-27,0.1847722900,0.1835509895,2025,shared,-0.0012213005
AOI-0011,2025-09-30,0.2641010000,0.2548334497,2025,shared,-0.0092675503
AOI-0011,2025-10-03,0.1695417900,0.1614492337,2025,shared,-0.0080925563
AOI-0011,2025-10-05,0.1187260400,0.1081959153,2025,shared,-0.0105301247
AOI-0012,2025-04-01,0.2354179400,0.1847665130,2025,new,-0.0506514270
AOI-0012,2025-04-28,0.4884976600,0.4679881232,2025,new,-0.0205095368
AOI-0012,2025-05-16,0.7283136500,0.7596105647,2025,new,0.0312969147
AOI-0012,2025-06-03,0.6171780600,0.6235020151,2025,new,0.0063239551
AOI-0012,2025-06-05,0.5517841100,0.5779812625,2025,new,0.0261971525
AOI-0012,2025-06-15,0.2764259700,0.2364227832,2025,new,-0.0400031868
AOI-0012,2025-06-26,0.3027223100,0.2995935437,2025,new,-0.0031287663
AOI-0012,2025-07-10,0.1558773500,0.1658067489,2025,new,0.0099293989
AOI-0012,2025-07-18,0.1461294400,0.1509512501,2025,new,0.0048218101
